"Date","M010ADUSM561SNBR"
1884-11-01,9.9
1884-12-01,9.8
1885-01-01,9.7
1885-02-01,9.6
1885-03-01,9.6
1885-04-01,9.5
1885-05-01,9.6
1885-06-01,9.7
1885-07-01,9.8
1885-08-01,10
1885-09-01,10.3
1885-10-01,10.7
1885-11-01,11.1
1885-12-01,11.5
1886-01-01,12
1886-02-01,12.6
1886-03-01,13.1
1886-04-01,13.7
1886-05-01,14.2
1886-06-01,14.7
1886-07-01,15.2
1886-08-01,15.5
1886-09-01,15.7
1886-10-01,15.7
1886-11-01,15.7
1886-12-01,15.6
1887-01-01,15.6
1887-02-01,15.5
1887-03-01,15.5
1887-04-01,15.5
1887-05-01,15.6
1887-06-01,15.7
1887-07-01,15.8
1887-08-01,15.9
1887-09-01,15.9
1887-10-01,15.9
1887-11-01,15.9
1887-12-01,15.8
1888-01-01,15.8
1888-02-01,15.8
1888-03-01,15.8
1888-04-01,15.8
1888-05-01,15.9
1888-06-01,16.1
1888-07-01,16.3
1888-08-01,16.6
1888-09-01,16.9
1888-10-01,17.3
1888-11-01,17.6
1888-12-01,18
1889-01-01,18.2
1889-02-01,18.5
1889-03-01,18.6
1889-04-01,18.7
1889-05-01,18.8
1889-06-01,18.9
1889-07-01,19.1
1889-08-01,19.3
1889-09-01,19.6
1889-10-01,20.1
1889-11-01,20.6
1889-12-01,21.3
1890-01-01,22.1
1890-02-01,22.9
1890-03-01,23.7
1890-04-01,24.3
1890-05-01,24.6
1890-06-01,24.5
1890-07-01,24.1
1890-08-01,23.4
1890-09-01,22.5
1890-10-01,21.5
1890-11-01,20.5
1890-12-01,19.7
1891-01-01,19.1
1891-02-01,18.7
1891-03-01,18.6
1891-04-01,18.8
1891-05-01,19.2
1891-06-01,19.8
1891-07-01,20.7
1891-08-01,21.7
1891-09-01,22.8
1891-10-01,23.9
1891-11-01,24.8
1891-12-01,25.4
1892-01-01,25.6
1892-02-01,25.5
1892-03-01,25.1
1892-04-01,24.5
1892-05-01,24
1892-06-01,23.5
1892-07-01,23.3
1892-08-01,23.3
1892-09-01,23.5
1892-10-01,23.8
1892-11-01,24
1892-12-01,23.9
1893-01-01,23.7
1893-02-01,23.1
1893-03-01,22.2
1893-04-01,21.1
1893-05-01,19.8
1893-06-01,18.5
1893-07-01,17.2
1893-08-01,16
1893-09-01,14.9
1893-10-01,14
1893-11-01,13.3
1893-12-01,12.9
1894-01-01,12.7
1894-02-01,12.9
1894-03-01,13.3
1894-04-01,14
1894-05-01,14.9
1894-06-01,15.9
1894-07-01,17
1894-08-01,18
1894-09-01,18.9
1894-10-01,19.7
1894-11-01,20.4
1894-12-01,21.1
1895-01-01,21.8
1895-02-01,22.4
1895-03-01,23.1
1895-04-01,23.8
1895-05-01,24.4
1895-06-01,25.1
1895-07-01,25.9
1895-08-01,26.6
1895-09-01,27.4
1895-10-01,28.1
1895-11-01,28.6
1895-12-01,28.7
1896-01-01,28.5
1896-02-01,27.8
1896-03-01,26.8
1896-04-01,25.5
1896-05-01,24.1
1896-06-01,22.8
1896-07-01,21.6
1896-08-01,20.7
1896-09-01,20.1
1896-10-01,19.7
1896-11-01,19.6
1896-12-01,19.7
1897-01-01,20.1
1897-02-01,20.7
1897-03-01,21.5
1897-04-01,22.5
1897-05-01,23.6
1897-06-01,24.8
1897-07-01,26
1897-08-01,27.1
1897-09-01,28.1
1897-10-01,29
1897-11-01,29.6
1897-12-01,30.2
1898-01-01,30.6
1898-02-01,31
1898-03-01,31.3
1898-04-01,31.4
1898-05-01,31.5
1898-06-01,31.5
1898-07-01,31.4
1898-08-01,31.4
1898-09-01,31.3
1898-10-01,31.4
1898-11-01,31.5
1898-12-01,31.8
1899-01-01,32.3
1899-02-01,32.8
1899-03-01,33.5
1899-04-01,34.3
1899-05-01,35.1
1899-06-01,36.1
1899-07-01,37.1
1899-08-01,38.2
1899-09-01,39.3
1899-10-01,40.2
1899-11-01,40.9
1899-12-01,41.3
1900-01-01,41.2
1900-02-01,40.8
1900-03-01,40.1
1900-04-01,39
1900-05-01,37.9
1900-06-01,36.8
1900-07-01,35.8
1900-08-01,35.1
1900-09-01,34.6
1900-10-01,34.5
1900-11-01,34.7
1900-12-01,35.2
1901-01-01,36
1901-02-01,37.1
1901-03-01,38.4
1901-04-01,39.7
1901-05-01,41.1
1901-06-01,42.3
1901-07-01,43.4
1901-08-01,44.2
1901-09-01,44.9
1901-10-01,45.3
1901-11-01,45.6
1901-12-01,45.7
1902-01-01,45.8
1902-02-01,46
1902-03-01,46.1
1902-04-01,46.2
1902-05-01,46.4
1902-06-01,46.7
1902-07-01,47
1902-08-01,47.5
1902-09-01,48.2
1902-10-01,49.1
1902-11-01,50
1902-12-01,50.9
1903-01-01,51.6
1903-02-01,52
1903-03-01,52
1903-04-01,51.5
1903-05-01,50.6
1903-06-01,49.4
1903-07-01,47.9
1903-08-01,46.4
1903-09-01,44.8
1903-10-01,43.3
1903-11-01,41.9
1903-12-01,40.7
1904-01-01,39.7
1904-02-01,39.1
1904-03-01,38.9
1904-04-01,39.2
1904-05-01,40
1904-06-01,41.2
1904-07-01,42.8
1904-08-01,44.7
1904-09-01,46.7
1904-10-01,48.7
1904-11-01,50.6
1904-12-01,52.4
1905-01-01,54.1
1905-02-01,55.8
1905-03-01,57.4
1905-04-01,59.1
1905-05-01,60.7
1905-06-01,62.1
1905-07-01,63.4
1905-08-01,64.3
1905-09-01,64.9
1905-10-01,65.3
1905-11-01,65.5
1905-12-01,65.7
1906-01-01,65.9
1906-02-01,66.2
1906-03-01,66.4
1906-04-01,66.6
1906-05-01,66.8
1906-06-01,66.9
1906-07-01,67
1906-08-01,67.2
1906-09-01,67.7
1906-10-01,68.6
1906-11-01,69.9
1906-12-01,71.6
1907-01-01,73.5
1907-02-01,74.7
1907-03-01,76.6
1907-04-01,77.1
1907-05-01,76.5
1907-06-01,74.5
1907-07-01,71.3
1907-08-01,67.1
1907-09-01,62.3
1907-10-01,57.3
1907-11-01,52.6
1907-12-01,48.3
1908-01-01,44.6
1908-02-01,41.8
1908-03-01,39.8
1908-04-01,38.7
1908-05-01,38.4
1908-06-01,38.8
1908-07-01,40
1908-08-01,41.8
1908-09-01,44.1
1908-10-01,46.8
1908-11-01,49.6
1908-12-01,52.5
1909-01-01,55.4
1909-02-01,58.2
1909-03-01,60.8
1909-04-01,63.4
1909-05-01,66.1
1909-06-01,68.8
1909-07-01,71.5
1909-08-01,74.4
1909-09-01,77.1
1909-10-01,79.7
1909-11-01,81.8
1909-12-01,83.3
1910-01-01,84
1910-02-01,83.8
1910-03-01,82.6
1910-04-01,80.7
1910-05-01,78.3
1910-06-01,75.5
1910-07-01,72.8
1910-08-01,70.1
1910-09-01,67.8
1910-10-01,65.8
1910-11-01,64.2
1910-12-01,63
1911-01-01,62.1
1911-02-01,61.6
1911-03-01,61.3
1911-04-01,61.3
1911-05-01,61.5
1911-06-01,62
1911-07-01,62.6
1911-08-01,63.5
1911-09-01,64.5
1911-10-01,65.7
1911-11-01,67
1911-12-01,68.5
1912-01-01,70.1
1912-02-01,71.9
1912-03-01,73.8
1912-04-01,75.8
1912-05-01,77.8
1912-06-01,79.8
1912-07-01,81.8
1912-08-01,83.7
1912-09-01,85.4
1912-10-01,87.1
1912-11-01,88.5
1912-12-01,89.6
1913-01-01,90.4
1913-02-01,90.7
1913-03-01,90.4
1913-04-01,89.5
1913-05-01,88.1
1913-06-01,86.3
1913-07-01,84.2
1913-08-01,82
1913-09-01,79.9
1913-10-01,77.8
1913-11-01,75.9
1913-12-01,74.1
1914-01-01,72.3
1914-02-01,70.5
1914-03-01,68.6
1914-04-01,66.6
1914-05-01,64.6
1914-06-01,62.6
1914-07-01,60.8
1914-08-01,59.2
1914-09-01,58
1914-10-01,57.2
1914-11-01,57
1914-12-01,57.4
1915-01-01,58.6
1915-02-01,60.5
1915-03-01,63.3
1915-04-01,67
1915-05-01,71.4
1915-06-01,76.5
1915-07-01,82
1915-08-01,87.5
1915-09-01,92.8
1915-10-01,97.5
1915-11-01,101.4
1915-12-01,104.3
1916-01-01,106.4
1916-02-01,107.6
1916-03-01,108.2
1916-04-01,108.2
1916-05-01,107.8
1916-06-01,107.3
1916-07-01,106.6
1916-08-01,106
1916-09-01,105.7
1916-10-01,105.5
1916-11-01,105.7
1916-12-01,106
1917-01-01,106.5
1917-02-01,106.8
1917-03-01,106.8
1917-04-01,106.5
1917-05-01,105.8
1917-06-01,104.7
1917-07-01,103.3
1917-08-01,101.9
1917-09-01,100.5
1917-10-01,99.3
1917-11-01,98.4
1917-12-01,98
1918-01-01,98.2
1918-02-01,99
1918-03-01,100.5
1918-04-01,102.5
1918-05-01,105.1
1918-06-01,107.8
1918-07-01,110.3
1918-08-01,112.1
1918-09-01,112.8
1918-10-01,112
1918-11-01,109.6
1918-12-01,105.9
1919-01-01,101.2
1919-02-01,96
1919-03-01,90.9
1919-04-01,85.9
1919-05-01,82.5
1919-06-01,79.6
1919-07-01,77.7
1919-08-01,76.9
1919-09-01,77.1
1919-10-01,78.3
1919-11-01,80.4
1919-12-01,83.5
1920-01-01,87.5
1920-02-01,92.1
1920-03-01,97.2
1920-04-01,102.1
1920-05-01,106.4
1920-06-01,109.2
1920-07-01,109.8
1920-08-01,107.7
1920-09-01,102.9
1920-10-01,95.7
1920-11-01,86.9
1920-12-01,77.2
1921-01-01,67.7
1921-02-01,59.1
1921-03-01,51.7
1921-04-01,45.8
1921-05-01,41.4
1921-06-01,38.4
1921-07-01,36.7
1921-08-01,36.3
1921-09-01,37
1921-10-01,38.8
1921-11-01,41.6
1921-12-01,45.3
1922-01-01,49.6
1922-02-01,54.4
1922-03-01,59.3
1922-04-01,64.1
1922-05-01,68.6
1922-06-01,72.8
1922-07-01,76.6
1922-08-01,80.3
1922-09-01,84.1
1922-10-01,88
1922-11-01,92.1
1922-12-01,96.4
1923-01-01,100.8
1923-02-01,105
1923-03-01,108.9
1923-04-01,112.4
1923-05-01,115.2
1923-06-01,117
1923-07-01,117.7
1923-08-01,117.1
1923-09-01,115
1923-10-01,111.5
1923-11-01,106.8
1923-12-01,101.3
1924-01-01,95.7
1924-02-01,90.3
1924-03-01,85.8
1924-04-01,82.2
1924-05-01,79.7
1924-06-01,78.4
1924-07-01,78.1
1924-08-01,78.6
1924-09-01,79.9
1924-10-01,81.9
1924-11-01,84.3
1924-12-01,87.1
1925-01-01,90
1925-02-01,93
1925-03-01,95.7
1925-04-01,97.8
1925-05-01,99.3
1925-06-01,100
1925-07-01,100
1925-08-01,99.7
1925-09-01,99.2
1925-10-01,99.1
1925-11-01,99.4
1925-12-01,100.3
1926-01-01,101.7
1926-02-01,103.4
1926-03-01,105.1
1926-04-01,106.7
1926-05-01,107.8
1926-06-01,108.5
1926-07-01,108.7
1926-08-01,108.6
1926-09-01,108.3
1926-10-01,108
1926-11-01,107.5
1926-12-01,107
1927-01-01,106.3
1927-02-01,105.3
1927-03-01,104.2
1927-04-01,102.8
1927-05-01,101.3
1927-06-01,99.7
1927-07-01,98.2
1927-08-01,96.8
1927-09-01,95.7
1927-10-01,94.8
1927-11-01,94.4
1927-12-01,94.3
1928-01-01,94.5
1928-02-01,95.2
1928-03-01,96.3
1928-04-01,97.6
1928-05-01,99.2
1928-06-01,100.9
1928-07-01,102.8
1928-08-01,104.7
1928-09-01,106.7
1928-10-01,108.7
1928-11-01,110.9
1928-12-01,113
1929-01-01,115.1
1929-02-01,116.8
1929-03-01,118.2
1929-04-01,119
1929-05-01,119.2
1929-06-01,118.8
1929-07-01,118
1929-08-01,116.7
1929-09-01,115.2
1929-10-01,113.2
1929-11-01,111.5
1929-12-01,109.1
1930-01-01,106.3
1930-02-01,103
1930-03-01,99.3
1930-04-01,95.3
1930-05-01,91.2
1930-06-01,87.2
1930-07-01,83.4
1930-08-01,79.8
1930-09-01,76.4
1930-10-01,73.1
1930-11-01,69.9
1930-12-01,66.8
1931-01-01,63.8
1931-02-01,60.9
1931-03-01,58.2
1931-04-01,55.7
1931-05-01,53.3
1931-06-01,51
1931-07-01,48.6
1931-08-01,46.1
1931-09-01,43.4
1931-10-01,40.6
1931-11-01,37.7
1931-12-01,34.9
1932-01-01,32.3
1932-02-01,29.9
1932-03-01,27.6
1932-04-01,25.5
1932-05-01,23.5
1932-06-01,21.8
1932-07-01,20.3
1932-08-01,19.2
1932-09-01,18.4
1932-10-01,18.1
1932-11-01,18.3
1932-12-01,19
1933-01-01,20.2
1933-02-01,21.9
1933-03-01,24.1
1933-04-01,26.7
1933-05-01,29.7
1933-06-01,33.1
1933-07-01,36.8
1933-08-01,40.6
1933-09-01,44.4
1933-10-01,47.7
1933-11-01,50.2
1933-12-01,51.5
1934-01-01,51.5
1934-02-01,50.4
1934-03-01,48.5
1934-04-01,46.2
