"Date","CPIEOTRGS"
1999-09-01,243.4
1999-10-01,244.1
1999-11-01,244.2
1999-12-01,244.3
2000-01-01,245.5
2000-02-01,247
2000-03-01,248
2000-04-01,251.2
2000-05-01,250.4
2000-06-01,250.3
2000-07-01,251.9
2000-08-01,251.6
2000-09-01,253.9
2000-10-01,253
2000-11-01,255.1
2000-12-01,253.9
2001-01-01,255.5
2001-02-01,256.6
2001-03-01,257.1
2001-04-01,259.5
2001-05-01,259.1
2001-06-01,259.9
2001-07-01,263
2001-08-01,262.3
2001-09-01,265
2001-10-01,264
2001-11-01,266.3
2001-12-01,264.8
2002-01-01,265.8
2002-02-01,267.7
2002-03-01,267.1
2002-04-01,269.7
2002-05-01,269.1
2002-06-01,270.8
2002-07-01,270.8
2002-08-01,271.6
2002-09-01,272.3
2002-10-01,271.6
2002-11-01,271.7
2002-12-01,271.9
2003-01-01,272.7
2003-02-01,274.2
2003-03-01,274.6
2003-04-01,275.3
2003-05-01,275.4
2003-06-01,275.7
2003-07-01,276.3
2003-08-01,276.5
2003-09-01,277.2
2003-10-01,277.6
2003-11-01,277.6
2003-12-01,277.9
2004-01-01,279.2
2004-02-01,280.4
2004-03-01,280.9
2004-04-01,281.3
2004-05-01,281.6
2004-06-01,282
2004-07-01,282.7
2004-08-01,283.5
2004-09-01,283.9
2004-10-01,284.3
2004-11-01,284.5
2004-12-01,285.3
2005-01-01,286.3
2005-02-01,288.1
2005-03-01,288.6
2005-04-01,289.1
2005-05-01,290
2005-06-01,290.1
2005-07-01,291.2
2005-08-01,291.5
2005-09-01,292.1
2005-10-01,292.4
2005-11-01,293.4
2005-12-01,294.5
2006-01-01,295.2
2006-02-01,296.1
2006-03-01,297.1
2006-04-01,297.1
2006-05-01,297.6
2006-06-01,298.7
2006-07-01,298.6
2006-08-01,298.9
2006-09-01,300.2
2006-10-01,301.2
2006-11-01,301.5
2006-12-01,303.4
2007-01-01,305.47
2007-02-01,306.234
2007-03-01,306.968
2007-04-01,307.532
2007-05-01,308.6
2007-06-01,308.983
2007-07-01,309.117
2007-08-01,309.289
2007-09-01,310.558
2007-10-01,311.144
2007-11-01,311.867
2007-12-01,313.411
2008-01-01,314.791
2008-02-01,316.056
2008-03-01,317.86
2008-04-01,319.252
2008-05-01,320.6
2008-06-01,321.219
2008-07-01,322.095
2008-08-01,322.333
2008-09-01,323.483
2008-10-01,324.374
2008-11-01,324.566
2008-12-01,324.933
2009-01-01,325.859
2009-02-01,326.718
2009-03-01,333.708
2009-04-01,340.474
2009-05-01,339.822
2009-06-01,340.435
2009-07-01,341.872
2009-08-01,341.864
2009-09-01,342.999
2009-10-01,343.944
2009-11-01,345.027
2009-12-01,345.447
2010-01-01,345.77
2010-02-01,346.458
2010-03-01,347.124
2010-04-01,347.089
2010-05-01,347.685
2010-06-01,348.476
2010-07-01,350.043
2010-08-01,350.42
2010-09-01,350.456
2010-10-01,349.739
2010-11-01,350.651
2010-12-01,351.022
2011-01-01,351.29
2011-02-01,351.905
2011-03-01,352.277
2011-04-01,352.883
2011-05-01,352.475
2011-06-01,352.988
2011-07-01,353.086
2011-08-01,353.485
2011-09-01,354.815
2011-10-01,355.562
2011-11-01,356.992
2011-12-01,357.425
2012-01-01,357.713
2012-02-01,358.049
2012-03-01,358.767
2012-04-01,359.663
2012-05-01,359.297
2012-06-01,360.079
2012-07-01,361.313
2012-08-01,362.096
2012-09-01,362.024
2012-10-01,362.277
2012-11-01,362.758
2012-12-01,362.901
2013-01-01,363.555
2013-02-01,364.402
2013-03-01,365.169
2013-04-01,365.738
2013-05-01,365.767
2013-06-01,366.269
2013-07-01,366.856
2013-08-01,367.464
2013-09-01,367.894
2013-10-01,368.117
2013-11-01,368.518
2013-12-01,369.399
2014-01-01,370.102
2014-02-01,370.777
2014-03-01,371.565
2014-04-01,371.936
2014-05-01,372.24
2014-06-01,372.547
2014-07-01,373.185
2014-08-01,373.566
2014-09-01,373.783
2014-10-01,374.851
2014-11-01,374.57
2014-12-01,375.104
2015-01-01,377.017
2015-02-01,376.381
2015-03-01,376.827
2015-04-01,376.851
2015-05-01,377.168
2015-06-01,378.836
2015-07-01,378.963
2015-08-01,379.318
2015-09-01,380.297
2015-10-01,381.621
2015-11-01,381.881
2015-12-01,381.542
2016-01-01,382.411
2016-02-01,383.126
2016-03-01,384.004
2016-04-01,384.373
2016-05-01,385.122
2016-06-01,385.893
2016-07-01,386.551
2016-08-01,387.039
2016-09-01,388.144
2016-10-01,388.15
2016-11-01,388.85
2016-12-01,389.579
2017-01-01,389.99
2017-02-01,390.701
2017-03-01,390.918
2017-04-01,393.751
2017-05-01,393.521
2017-06-01,394.506
2017-07-01,395.142
2017-08-01,394.809
2017-09-01,395.557
2017-10-01,397.258
2017-11-01,397.422
2017-12-01,397.129
2018-01-01,398.417
2018-02-01,398.553
2018-03-01,399.764
2018-04-01,403.069
2018-05-01,403.319
2018-06-01,403.444
2018-07-01,403.635
2018-08-01,403.31
2018-09-01,403.715
2018-10-01,404.219
2018-11-01,405.421
2018-12-01,404.958
2019-01-01,405.663
2019-02-01,407.919
2019-03-01,407.563
2019-04-01,407.722
2019-05-01,409.029
2019-06-01,408.564
2019-07-01,410.52
2019-08-01,411.599
2019-09-01,411.985
2019-10-01,413.919
2019-11-01,414.746
2019-12-01,414.344
2020-01-01,417.041
2020-02-01,418.463
2020-03-01,419.587
2020-04-01,419.398
2020-05-01,418.972
2020-06-01,420.062
2020-07-01,421.282
2020-08-01,420.67
2020-09-01,421.471
2020-10-01,421.591
2020-11-01,421.936
2020-12-01,423.687
2021-01-01,424.773
2021-02-01,426.656
2021-03-01,428.981
2021-04-01,430.054
2021-05-01,429.465
2021-06-01,429.905
2021-07-01,432.929
2021-08-01,434.585
2021-09-01,434.443
2021-10-01,437.662
2021-11-01,438.804
2021-12-01,440.905
2022-01-01,444.853
2022-02-01,448.96
2022-03-01,451.382
2022-04-01,453.402
2022-05-01,455.191
2022-06-01,457.115
2022-07-01,458.67
2022-08-01,461.809
2022-09-01,463.477
2022-10-01,465.979
2022-11-01,469.553
2022-12-01,468.747
2023-01-01,472.092
2023-02-01,476.354
2023-03-01,478.698
2023-04-01,483.798
2023-05-01,486.111
2023-06-01,487.24
2023-07-01,486.862
2023-08-01,489.019
2023-09-01,491.336
2023-10-01,494.279
2023-11-01,495.522
