"Date","ORSLIND"
2000-11-01,1.74
2000-12-01,0.95
2001-01-01,0.52
2001-02-01,0.29
2001-03-01,-0.23
2001-04-01,-0.45
2001-05-01,-0.21
2001-06-01,0.28
2001-07-01,0.08
2001-08-01,-0.26
2001-09-01,-0.21
2001-10-01,-0.16
2001-11-01,-0.15
2001-12-01,0.39
2002-01-01,1.31
2002-02-01,2
2002-03-01,2.3
2002-04-01,2.77
2002-05-01,2.2
2002-06-01,2.46
2002-07-01,2.3
2002-08-01,1.73
2002-09-01,1.01
2002-10-01,1.28
2002-11-01,0.41
2002-12-01,0.65
2003-01-01,0.9
2003-02-01,0.69
2003-03-01,0.3
2003-04-01,0.47
2003-05-01,0.87
2003-06-01,1.13
2003-07-01,2
2003-08-01,2.32
2003-09-01,2.82
2003-10-01,2.6
2003-11-01,2.29
2003-12-01,2.45
2004-01-01,1.69
2004-02-01,1.79
2004-03-01,2.52
2004-04-01,2.76
2004-05-01,2.47
2004-06-01,2.44
2004-07-01,2.15
2004-08-01,2.33
2004-09-01,2.24
2004-10-01,2.24
2004-11-01,2.12
2004-12-01,2.61
2005-01-01,2.19
2005-02-01,2.51
2005-03-01,2.29
2005-04-01,1.67
2005-05-01,1.32
2005-06-01,1.83
2005-07-01,2
2005-08-01,1.69
2005-09-01,2.17
2005-10-01,2.18
2005-11-01,2.55
2005-12-01,2.64
2006-01-01,2.13
2006-02-01,2.41
2006-03-01,2
2006-04-01,1.53
2006-05-01,1.45
2006-06-01,1.43
2006-07-01,1.27
2006-08-01,1.27
2006-09-01,1.05
2006-10-01,1.78
2006-11-01,1.49
2006-12-01,1.87
2007-01-01,1.78
2007-02-01,1.91
2007-03-01,1.47
2007-04-01,0.89
2007-05-01,1.03
2007-06-01,0.69
2007-07-01,0.7
2007-08-01,0.93
2007-09-01,1.27
2007-10-01,1.06
2007-11-01,1.65
2007-12-01,1.29
2008-01-01,1.33
2008-02-01,0.97
2008-03-01,0.93
2008-04-01,0.2
2008-05-01,0.17
2008-06-01,-0.08
2008-07-01,-0.35
2008-08-01,-0.61
2008-09-01,-1.39
2008-10-01,-2.07
2008-11-01,-2.69
2008-12-01,-3.52
2009-01-01,-3.01
2009-02-01,-2.28
2009-03-01,-1.46
2009-04-01,-0.37
2009-05-01,1.23
2009-06-01,2.18
2009-07-01,2.64
2009-08-01,2.66
2009-09-01,2.29
2009-10-01,1.66
2009-11-01,1.78
2009-12-01,1.54
2010-01-01,1.59
2010-02-01,1.57
2010-03-01,1.8
2010-04-01,2.07
2010-05-01,2.71
2010-06-01,2.38
2010-07-01,1.66
2010-08-01,1.97
2010-09-01,1.72
2010-10-01,1.89
2010-11-01,2.45
2010-12-01,2.02
2011-01-01,2.58
2011-02-01,2.44
2011-03-01,2.63
2011-04-01,1.59
2011-05-01,1.29
2011-06-01,1.37
2011-07-01,1.64
2011-08-01,1.88
2011-09-01,1.85
2011-10-01,2.1
2011-11-01,2.17
2011-12-01,2.08
2012-01-01,2.08
2012-02-01,2.06
2012-03-01,1.62
2012-04-01,1.98
2012-05-01,1.81
2012-06-01,1.61
2012-07-01,2.17
2012-08-01,2.21
2012-09-01,1.6
2012-10-01,1.64
2012-11-01,1.85
2012-12-01,1.61
2013-01-01,2.12
2013-02-01,2.38
2013-03-01,2.23
2013-04-01,2.65
2013-05-01,2.22
2013-06-01,1.96
2013-07-01,1.87
2013-08-01,2.13
2013-09-01,2.36
2013-10-01,2.25
2013-11-01,2.24
2013-12-01,2.17
2014-01-01,1.92
2014-02-01,1.42
2014-03-01,2.33
2014-04-01,2.44
2014-05-01,2.37
2014-06-01,2.73
2014-07-01,2.25
2014-08-01,2.13
2014-09-01,2.37
2014-10-01,2.35
2014-11-01,2.74
2014-12-01,2.59
2015-01-01,2.31
2015-02-01,2.34
2015-03-01,2.13
2015-04-01,2.02
2015-05-01,2.29
2015-06-01,1.91
2015-07-01,1.83
2015-08-01,2.15
2015-09-01,2.3
2015-10-01,2.37
2015-11-01,2.31
2015-12-01,2.33
2016-01-01,1.75
2016-02-01,2.61
2016-03-01,1.91
2016-04-01,1.84
2016-05-01,1.6
2016-06-01,1.72
2016-07-01,2.05
2016-08-01,2.14
2016-09-01,2.13
2016-10-01,1.94
2016-11-01,2.51
2016-12-01,1.93
2017-01-01,1.05
2017-02-01,2.29
2017-03-01,2.14
2017-04-01,2.14
2017-05-01,1.78
2017-06-01,1.93
2017-07-01,1.68
2017-08-01,1.54
2017-09-01,1.38
2017-10-01,1.44
2017-11-01,1.45
2017-12-01,1.59
2018-01-01,1.85
2018-02-01,1.82
2018-03-01,1.61
2018-04-01,1.69
2018-05-01,1.53
2018-06-01,1.81
2018-07-01,1.34
2018-08-01,0.9
2018-09-01,1.59
2018-10-01,1.3
2018-11-01,1.1
2018-12-01,1.35
2019-01-01,1.72
2019-02-01,1.01
2019-03-01,1.54
2019-04-01,1.77
2019-05-01,1.71
2019-06-01,1.69
2019-07-01,1.73
2019-08-01,2.13
2019-09-01,1.62
2019-10-01,1.57
2019-11-01,1.51
2019-12-01,1.21
2020-01-01,1.68
2020-02-01,1.54
