"Date","UTSLIND"
1993-07-01,2.88
1993-08-01,2.85
1993-09-01,3.08
1993-10-01,2.39
1993-11-01,2.3
1993-12-01,1.98
1994-01-01,1.72
1994-02-01,1.92
1994-03-01,1.6
1994-04-01,1.86
1994-05-01,1.51
1994-06-01,1.9
1994-07-01,1.94
1994-08-01,2.27
1994-09-01,1.77
1994-10-01,1.62
1994-11-01,1.65
1994-12-01,2.4
1995-01-01,2.55
1995-02-01,2.89
1995-03-01,2.18
1995-04-01,2.1
1995-05-01,2.23
1995-06-01,1.85
1995-07-01,1.53
1995-08-01,1.94
1995-09-01,2
1995-10-01,2.04
1995-11-01,2.59
1995-12-01,2.46
1996-01-01,0.73
1996-02-01,0.47
1996-03-01,0.58
1996-04-01,1.43
1996-05-01,1.65
1996-06-01,2.07
1996-07-01,2.53
1996-08-01,2.27
1996-09-01,1.68
1996-10-01,1.66
1996-11-01,1.83
1996-12-01,1.58
1997-01-01,1.45
1997-02-01,2.04
1997-03-01,2.42
1997-04-01,2.54
1997-05-01,2
1997-06-01,1.64
1997-07-01,1.65
1997-08-01,1.4
1997-09-01,0.92
1997-10-01,1.22
1997-11-01,1.4
1997-12-01,0.94
1998-01-01,1.29
1998-02-01,1.01
1998-03-01,1.24
1998-04-01,1.44
1998-05-01,1.12
1998-06-01,1.44
1998-07-01,1.3
1998-08-01,1.66
1998-09-01,1.72
1998-10-01,1.77
1998-11-01,1.53
1998-12-01,1.7
1999-01-01,2.08
1999-02-01,1.63
1999-03-01,1.79
1999-04-01,1.32
1999-05-01,1.65
1999-06-01,1.5
1999-07-01,2.09
1999-08-01,1.88
1999-09-01,2.51
1999-10-01,3.12
1999-11-01,3.05
1999-12-01,2.66
2000-01-01,2.21
2000-02-01,1.65
2000-03-01,1.58
2000-04-01,2.13
2000-05-01,1.41
2000-06-01,1.11
2000-07-01,1.22
2000-08-01,1.05
2000-09-01,0.56
2000-10-01,0.45
2000-11-01,0.45
2000-12-01,0.86
2001-01-01,0.82
2001-02-01,1.04
2001-03-01,0.29
2001-04-01,0.65
2001-05-01,0.4
2001-06-01,0.73
2001-07-01,0.96
2001-08-01,0.72
2001-09-01,0.32
2001-10-01,0.43
2001-11-01,0.08
2001-12-01,0.18
2002-01-01,0.54
2002-02-01,1.48
2002-03-01,1.45
2002-04-01,1.41
2002-05-01,1.92
2002-06-01,2.12
2002-07-01,2.15
2002-08-01,2.56
2002-09-01,2.2
2002-10-01,2.08
2002-11-01,1.89
2002-12-01,2.28
2003-01-01,2.44
2003-02-01,2.24
2003-03-01,2.72
2003-04-01,2.09
2003-05-01,2.66
2003-06-01,2.19
2003-07-01,2.42
2003-08-01,2.16
2003-09-01,2.62
2003-10-01,2.62
2003-11-01,2.86
2003-12-01,3
2004-01-01,3.13
2004-02-01,2.52
2004-03-01,3.06
2004-04-01,2.6
2004-05-01,3.42
2004-06-01,3.33
2004-07-01,2.82
2004-08-01,2.77
2004-09-01,2.78
2004-10-01,2.39
2004-11-01,2.65
2004-12-01,2.88
2005-01-01,3.15
2005-02-01,2.8
2005-03-01,2.55
2005-04-01,2.56
2005-05-01,2.3
2005-06-01,2.18
2005-07-01,2.45
2005-08-01,2.14
2005-09-01,2.51
2005-10-01,2.93
2005-11-01,2.76
2005-12-01,2.8
2006-01-01,3.06
2006-02-01,2.69
2006-03-01,2.21
2006-04-01,2.41
2006-05-01,2.06
2006-06-01,1.93
2006-07-01,2.11
2006-08-01,2.59
2006-09-01,2.23
2006-10-01,2.33
2006-11-01,2.16
2006-12-01,2.23
2007-01-01,2.25
2007-02-01,1.89
2007-03-01,1.71
2007-04-01,1.79
2007-05-01,1.08
2007-06-01,0.97
2007-07-01,0.69
2007-08-01,0.47
2007-09-01,0.86
2007-10-01,0.42
2007-11-01,0.9
2007-12-01,0.38
2008-01-01,0.76
2008-02-01,0.57
2008-03-01,0.89
2008-04-01,0.78
2008-05-01,1.74
2008-06-01,1.23
2008-07-01,0.65
2008-08-01,0.11
2008-09-01,0.07
2008-10-01,-0.01
2008-11-01,-0.73
2008-12-01,-5.22
2009-01-01,-4.09
2009-02-01,-3.18
2009-03-01,-1.56
2009-04-01,-0.34
2009-05-01,1.08
2009-06-01,2
2009-07-01,2.24
2009-08-01,2.34
2009-09-01,2.43
2009-10-01,2.44
2009-11-01,1.95
2009-12-01,2.51
2010-01-01,2.32
2010-02-01,2.42
2010-03-01,2.04
2010-04-01,1.79
2010-05-01,2.26
2010-06-01,2.21
2010-07-01,2.19
2010-08-01,2.73
2010-09-01,2.26
2010-10-01,2.55
2010-11-01,3.18
2010-12-01,2.82
2011-01-01,2.6
2011-02-01,3.07
2011-03-01,3.44
2011-04-01,3.27
2011-05-01,2.88
2011-06-01,3.3
2011-07-01,3.13
2011-08-01,3.48
2011-09-01,3.28
2011-10-01,2.85
2011-11-01,3.24
2011-12-01,2.86
2012-01-01,2.69
2012-02-01,2.69
2012-03-01,2.59
2012-04-01,2.64
2012-05-01,2.64
2012-06-01,2.68
2012-07-01,2.68
2012-08-01,2.03
2012-09-01,1.68
2012-10-01,1.83
2012-11-01,2.03
2012-12-01,2.73
2013-01-01,2.59
2013-02-01,2.74
2013-03-01,2.58
2013-04-01,2.11
2013-05-01,2.21
2013-06-01,2.58
2013-07-01,2.27
2013-08-01,2.49
2013-09-01,2.65
2013-10-01,2.48
2013-11-01,2.19
2013-12-01,2.16
2014-01-01,3.24
2014-02-01,3.01
2014-03-01,3.35
2014-04-01,2.81
2014-05-01,2.4
2014-06-01,2.06
2014-07-01,2.11
2014-08-01,2.1
2014-09-01,2.17
2014-10-01,2.67
2014-11-01,2.4
2014-12-01,2.62
2015-01-01,2.13
2015-02-01,1.72
2015-03-01,1.61
2015-04-01,1.82
2015-05-01,1.92
2015-06-01,1.81
2015-07-01,2.08
2015-08-01,2.15
2015-09-01,2.05
2015-10-01,1.82
2015-11-01,1.79
2015-12-01,1.83
2016-01-01,1.82
2016-02-01,1.6
2016-03-01,1.93
2016-04-01,1.99
2016-05-01,2.6
2016-06-01,2.31
2016-07-01,2.21
2016-08-01,2.01
2016-09-01,2.24
2016-10-01,2.18
2016-11-01,2.07
2016-12-01,2.12
2017-01-01,1.59
2017-02-01,2.46
2017-03-01,2.16
2017-04-01,2.6
2017-05-01,2.02
2017-06-01,2.05
2017-07-01,2.09
2017-08-01,1.98
2017-09-01,2.53
2017-10-01,2.12
2017-11-01,1.93
2017-12-01,2.25
2018-01-01,2.43
2018-02-01,2.19
2018-03-01,1.98
2018-04-01,2.11
2018-05-01,2
2018-06-01,2.26
2018-07-01,1.76
2018-08-01,2.13
2018-09-01,2.21
2018-10-01,2.26
2018-11-01,1.94
2018-12-01,2.18
2019-01-01,1.83
2019-02-01,2.21
2019-03-01,2.1
2019-04-01,2.2
2019-05-01,1.91
2019-06-01,2.11
2019-07-01,2.54
2019-08-01,2.02
2019-09-01,1.65
2019-10-01,1.94
2019-11-01,1.57
2019-12-01,1.55
2020-01-01,1.12
2020-02-01,1.57
