"Date","M128AAUSM144SNBR"
1888-06-01,68.7
1888-07-01,69.4
1888-08-01,70.2
1888-09-01,70.9
1888-10-01,71.7
1888-11-01,72.4
1888-12-01,72.9
1889-01-01,73.5
1889-02-01,73.8
1889-03-01,74.1
1889-04-01,74.4
1889-05-01,74.7
1889-06-01,75
1889-07-01,75.4
1889-08-01,75.9
1889-09-01,76.6
1889-10-01,77.5
1889-11-01,78.7
1889-12-01,79.9
1890-01-01,81.3
1890-02-01,82.8
1890-03-01,84.1
1890-04-01,85.4
1890-05-01,86.4
1890-06-01,87.1
1890-07-01,87.4
1890-08-01,87.5
1890-09-01,87.2
1890-10-01,86.7
1890-11-01,86.1
1890-12-01,85.4
1891-01-01,84.8
1891-02-01,84.3
1891-03-01,84
1891-04-01,83.9
1891-05-01,84.1
1891-06-01,84.5
1891-07-01,85.3
1891-08-01,86.1
1891-09-01,86.9
1891-10-01,87.7
1891-11-01,88.4
1891-12-01,88.9
1892-01-01,89.4
1892-02-01,89.9
1892-03-01,90.4
1892-04-01,91
1892-05-01,91.8
1892-06-01,92.8
1892-07-01,94
1892-08-01,95.4
1892-09-01,96.6
1892-10-01,97.6
1892-11-01,98.2
1892-12-01,98.1
1893-01-01,97.2
1893-02-01,95.7
1893-03-01,93.7
1893-04-01,91.2
1893-05-01,88.6
1893-06-01,86
1893-07-01,83.5
1893-08-01,81.2
1893-09-01,79.3
1893-10-01,77.9
1893-11-01,76.9
1893-12-01,76.5
1894-01-01,76.6
1894-02-01,77.1
1894-03-01,77.9
1894-04-01,79
1894-05-01,80.1
1894-06-01,81.1
1894-07-01,82
1894-08-01,82.7
1894-09-01,83.3
1894-10-01,83.8
1894-11-01,84.4
1894-12-01,85
1895-01-01,85.8
1895-02-01,86.7
1895-03-01,87.6
1895-04-01,88.6
1895-05-01,89.5
1895-06-01,90.3
1895-07-01,91
1895-08-01,91.5
1895-09-01,91.9
1895-10-01,91.9
1895-11-01,91.7
1895-12-01,91.3
1896-01-01,90.7
1896-02-01,89.9
1896-03-01,89
1896-04-01,88
1896-05-01,87
1896-06-01,86.1
1896-07-01,85.3
1896-08-01,84.6
1896-09-01,84
1896-10-01,83.7
1896-11-01,83.7
1896-12-01,83.8
1897-01-01,84.3
1897-02-01,85
1897-03-01,86.1
1897-04-01,87.4
1897-05-01,89
1897-06-01,90.7
1897-07-01,92.6
1897-08-01,94.4
1897-09-01,96.1
1897-10-01,97.5
1897-11-01,98.7
1897-12-01,99.4
1898-01-01,99.7
1898-02-01,99.9
1898-03-01,99.8
1898-04-01,99.8
1898-05-01,100
1898-06-01,100.3
1898-07-01,101.1
1898-08-01,102.3
1898-09-01,103.8
1898-10-01,105.8
1898-11-01,108.1
1898-12-01,110.6
1899-01-01,113.1
1899-02-01,115.6
1899-03-01,117.8
1899-04-01,119.6
1899-05-01,120.9
1899-06-01,121.7
1899-07-01,122
1899-08-01,121.9
1899-09-01,121.4
1899-10-01,120.6
1899-11-01,119.7
1899-12-01,118.6
1900-01-01,117.6
1900-02-01,116.6
1900-03-01,115.8
1900-04-01,115.2
1900-05-01,114.8
1900-06-01,114.8
1900-07-01,115.2
1900-08-01,116.1
1900-09-01,117.4
1900-10-01,119
1900-11-01,121
1900-12-01,123.2
1901-01-01,125.4
1901-02-01,127.6
1901-03-01,129.6
1901-04-01,131.3
1901-05-01,132.8
1901-06-01,134
1901-07-01,134.8
1901-08-01,135.4
1901-09-01,135.8
1901-10-01,136
1901-11-01,136.1
1901-12-01,136.2
1902-01-01,136.4
1902-02-01,136.7
1902-03-01,137
1902-04-01,137.4
1902-05-01,137.8
1902-06-01,138.3
1902-07-01,138.6
1902-08-01,138.9
1902-09-01,139
1902-10-01,139.2
1902-11-01,139.4
1902-12-01,139.6
1903-01-01,139.9
1903-02-01,140.3
1903-03-01,140.7
1903-04-01,141
1903-05-01,141.3
1903-06-01,141.4
1903-07-01,141.3
1903-08-01,141
1903-09-01,140.5
1903-10-01,139.8
1903-11-01,139.1
1903-12-01,138.3
1904-01-01,137.7
1904-02-01,137.3
1904-03-01,137.2
1904-04-01,137.5
1904-05-01,138.2
1904-06-01,139.3
1904-07-01,140.8
1904-08-01,142.4
1904-09-01,144.3
1904-10-01,146.2
1904-11-01,148.1
1904-12-01,149.9
1905-01-01,151.6
1905-02-01,153.2
1905-03-01,154.7
1905-04-01,156.1
1905-05-01,157.5
1905-06-01,158.9
1905-07-01,160.2
1905-08-01,161.5
1905-09-01,162.6
1905-10-01,163.7
1905-11-01,164.7
1905-12-01,165.5
1906-01-01,166.2
1906-02-01,166.7
1906-03-01,167.1
1906-04-01,167.6
1906-05-01,167.9
1906-06-01,168.3
1906-07-01,168.8
1906-08-01,169.6
1906-09-01,170.7
1906-10-01,172.2
1906-11-01,174.1
1906-12-01,176.1
1907-01-01,178
1907-02-01,179.6
1907-03-01,180.6
1907-04-01,180.9
1907-05-01,179.6
1907-06-01,177.7
1907-07-01,175.1
1907-08-01,171.9
1907-09-01,168.1
1907-10-01,165
1907-11-01,161.6
1907-12-01,159.1
1908-01-01,156.7
1908-02-01,155
1908-03-01,154.1
1908-04-01,154.1
1908-05-01,154.5
1908-06-01,156
1908-07-01,157.7
1908-08-01,160.5
1908-09-01,163.3
1908-10-01,166.2
1908-11-01,168.9
1908-12-01,171.8
1909-01-01,173.7
1909-02-01,175.7
1909-03-01,177.6
1909-04-01,179.4
1909-05-01,181.3
1909-06-01,183.2
1909-07-01,185.1
1909-08-01,186.8
1909-09-01,188.4
1909-10-01,189.8
1909-11-01,190.8
1909-12-01,191.5
1910-01-01,192.4
1910-02-01,192.5
1910-03-01,192.4
1910-04-01,192.1
1910-05-01,191.6
1910-06-01,190.7
1910-07-01,190.2
1910-08-01,189.7
1910-09-01,189.4
1910-10-01,189.2
1910-11-01,189.2
1910-12-01,189.4
1911-01-01,189.7
1911-02-01,190.1
1911-03-01,190.6
1911-04-01,191.1
1911-05-01,191.7
1911-06-01,192.3
1911-07-01,192.8
1911-08-01,193.4
1911-09-01,194
1911-10-01,194.4
1911-11-01,195.1
1911-12-01,195.9
1912-01-01,196.8
1912-02-01,197.9
1912-03-01,199.1
1912-04-01,200.4
1912-05-01,201.8
1912-06-01,203.2
1912-07-01,204.6
1912-08-01,205.7
1912-09-01,206.8
1912-10-01,207.5
1912-11-01,208.1
1912-12-01,208.4
1913-01-01,208.5
1913-02-01,208.3
1913-03-01,208.2
1913-04-01,208.2
1913-05-01,208.2
1913-06-01,208.4
1913-07-01,208.7
1913-08-01,209
1913-09-01,209.6
1913-10-01,209.7
1913-11-01,209.8
1913-12-01,209.7
1914-01-01,209
1914-02-01,208
1914-03-01,206.6
1914-04-01,204.8
1914-05-01,203
1914-06-01,200.9
1914-07-01,198.8
1914-08-01,196.9
1914-09-01,195.3
1914-10-01,193.9
1914-11-01,193.1
1914-12-01,192.8
1915-01-01,193.1
1915-02-01,194
1915-03-01,195.7
1915-04-01,197.8
1915-05-01,200.4
1915-06-01,203.3
1915-07-01,206.3
1915-08-01,209.4
1915-09-01,212.4
1915-10-01,215.1
1915-11-01,217.9
1915-12-01,220.6
1916-01-01,223.4
1916-02-01,226.3
1916-03-01,29.4
1916-04-01,232.5
1916-05-01,235.5
1916-06-01,238.4
1916-07-01,241
1916-08-01,243.3
1916-09-01,245.4
1916-10-01,247.3
1916-11-01,248.9
1916-12-01,250.4
1917-01-01,251.8
1917-02-01,252.9
1917-03-01,229.4
1917-04-01,254.4
1917-05-01,254.7
1917-06-01,254.9
1917-07-01,255.1
1917-08-01,255.6
1917-09-01,256.4
1917-10-01,257.8
1917-11-01,259.8
1917-12-01,262.2
1918-01-01,265
1918-02-01,267.9
1918-03-01,270.5
1918-04-01,272.6
1918-05-01,274.2
1918-06-01,275.2
1918-07-01,275.5
1918-08-01,275.5
1918-09-01,275.2
1918-10-01,275
1918-11-01,275.1
1918-12-01,275.5
1919-01-01,276.4
1919-02-01,277.9
1919-03-01,280
1919-04-01,282.6
1919-05-01,285.8
1919-06-01,289.3
1919-07-01,293
1919-08-01,296.5
1919-09-01,299.6
1919-10-01,302.2
1919-11-01,304
1919-12-01,304.9
