"Date","M010BBUSM508NNBR"
1894-04-01,70.6
1894-05-01,50.4
1894-06-01,42.7
1894-07-01,57.9
1894-08-01,76.3
1894-09-01,85.4
1894-10-01,87.9
1894-11-01,91.6
1894-12-01,92.2
1895-01-01,89.3
1895-02-01,84.8
1895-03-01,82.8
1895-04-01,81.6
1895-05-01,80.6
1895-06-01,84.4
1895-07-01,90.5
1895-08-01,98.2
1895-09-01,104.6
1895-10-01,110.5
1895-11-01,113.7
1895-12-01,109.1
1896-01-01,103.9
1896-02-01,97.5
1896-03-01,93.9
1896-04-01,93
1896-05-01,90.5
1896-06-01,86.5
1896-07-01,79.8
1896-08-01,66.7
1896-09-01,54.9
1896-10-01,53.7
1896-11-01,61.5
1896-12-01,69.4
1897-01-01,74.3
1897-02-01,77
1897-03-01,79.4
1897-04-01,79.6
1897-05-01,78.8
1897-06-01,77
1897-07-01,75.4
1897-08-01,79.6
1897-09-01,86.3
1897-10-01,92.8
1897-11-01,97.2
1897-12-01,98.6
1898-01-01,98.1
1898-02-01,98.9
1898-03-01,98.7
1898-04-01,98.1
1898-05-01,95.6
1898-06-01,92
1898-07-01,88.7
1898-08-01,88.5
1898-09-01,90.2
1898-10-01,92.9
1898-11-01,96.6
1898-12-01,97.7
1899-01-01,97.5
1899-02-01,93.5
1899-03-01,94.9
1899-04-01,98.2
1899-05-01,99.3
1899-06-01,101
1899-07-01,103.2
1899-08-01,103.7
1899-09-01,105.9
1899-10-01,109.1
1899-11-01,111.9
1899-12-01,112.4
1900-01-01,113
1900-02-01,111.9
1900-03-01,109.6
1900-04-01,109.2
1900-05-01,109.7
1900-06-01,106.3
1900-07-01,95.6
1900-08-01,85.4
1900-09-01,81.5
1900-10-01,77.8
1900-11-01,79
1900-12-01,85.5
1901-01-01,94.9
1901-02-01,102.2
1901-03-01,103.1
1901-04-01,104.1
1901-05-01,107.1
1901-06-01,108.3
1901-07-01,107.8
1901-08-01,106.8
1901-09-01,106.9
1901-10-01,107.6
1901-11-01,109.5
1901-12-01,97.7
1902-01-01,110.9
1902-02-01,106.5
1902-03-01,109.8
1902-04-01,115
1902-05-01,116.4
1902-06-01,112.2
1902-07-01,107.9
1902-08-01,108.9
1902-09-01,107.6
1902-10-01,108
1902-11-01,108.2
1902-12-01,111.9
1903-01-01,106.2
1903-02-01,110.6
1903-03-01,113.6
1903-04-01,117.9
1903-05-01,121.7
1903-06-01,122.1
1903-07-01,107.7
1903-08-01,109.2
1903-09-01,111.4
1903-10-01,98.3
1903-11-01,73.7
1903-12-01,57.4
1904-01-01,62.4
1904-02-01,87.3
1904-03-01,97.6
1904-04-01,108
1904-05-01,102.3
1904-06-01,88.3
1904-07-01,73.7
1904-08-01,76.6
1904-09-01,91.1
1904-10-01,94.9
1904-11-01,99.1
1904-12-01,103.7
1905-01-01,114.1
1905-02-01,112.6
1905-03-01,122.9
1905-04-01,125.6
1905-05-01,122.8
1905-06-01,115.7
1905-07-01,108.4
1905-08-01,114.6
1905-09-01,120.8
1905-10-01,125.6
1905-11-01,127.5
1905-12-01,124.1
1906-01-01,124.7
1906-02-01,126.6
1906-03-01,129.9
1906-04-01,128.3
1906-05-01,125.2
1906-06-01,121
1906-07-01,118.9
1906-08-01,113
1906-09-01,118.8
1906-10-01,127.6
1906-11-01,130.6
1906-12-01,128.4
1907-01-01,126.5
1907-02-01,128.6
1907-03-01,126.6
1907-04-01,128.9
1907-05-01,129.4
1907-06-01,129.9
1907-07-01,125.4
1907-08-01,124.7
1907-09-01,125
1907-10-01,129.1
1907-11-01,103.2
1907-12-01,67.3
1908-01-01,56.6
1908-02-01,62
1908-03-01,66.2
1908-04-01,63.4
1908-05-01,62
1908-06-01,59.7
1908-07-01,64.4
1908-08-01,72.1
1908-09-01,76.7
1908-10-01,81.9
1908-11-01,84.5
1908-12-01,90.3
1909-01-01,93.1
1909-02-01,96.8
1909-03-01,93.7
1909-04-01,91.4
1909-05-01,95.5
1909-06-01,100.5
1909-07-01,106
1909-08-01,113.3
1909-09-01,123.1
1909-10-01,129
1909-11-01,130
1909-12-01,130.3
1910-01-01,128
1910-02-01,129.6
1910-03-01,127.4
1910-04-01,124.5
1910-05-01,115.5
1910-06-01,113.3
1910-07-01,103.1
1910-08-01,101
1910-09-01,100.9
1910-10-01,99
1910-11-01,93.2
1910-12-01,84
1911-01-01,82.8
1911-02-01,92.8
1911-03-01,100.7
1911-04-01,98.9
1911-05-01,87.2
1911-06-01,85.1
1911-07-01,82
1911-08-01,87.9
1911-09-01,93.4
1911-10-01,95
1911-11-01,93.7
1911-12-01,91.6
1912-01-01,92
1912-02-01,100.8
1912-03-01,107.4
1912-04-01,109.1
1912-05-01,111.4
1912-06-01,110.9
1912-07-01,106.1
1912-08-01,109.4
1912-09-01,110.4
1912-10-01,116.6
1912-11-01,117.4
1912-12-01,119.7
1913-01-01,120
1913-02-01,122.5
1913-03-01,118
1913-04-01,121.2
1913-05-01,119.6
1913-06-01,115.2
1913-07-01,107.6
1913-08-01,107.2
1913-09-01,107.8
1913-10-01,106
1913-11-01,95.9
1913-12-01,82
1914-01-01,77.7
1914-02-01,86.3
1914-03-01,96.1
1914-04-01,96.2
1914-05-01,84.9
1914-06-01,80.6
1914-07-01,79.5
1914-08-01,80.8
1914-09-01,78.1
1914-10-01,71.4
1914-11-01,62.7
1914-12-01,60.2
1915-01-01,63.4
1915-02-01,73.1
1915-03-01,81.3
1915-04-01,85.6
1915-05-01,88.3
1915-06-01,96.3
1915-07-01,100
1915-08-01,107.5
1915-09-01,114.4
1915-10-01,120.2
1915-11-01,120.8
1915-12-01,122.6
1916-01-01,122.1
1916-02-01,125.8
1916-03-01,127
1916-04-01,126.6
1916-05-01,128
1916-06-01,126
1916-07-01,121.7
1916-08-01,120.6
1916-09-01,124.3
1916-10-01,131.6
1916-11-01,127.8
1916-12-01,119
1917-01-01,117.9
1917-02-01,108.3
1917-03-01,120.3
1917-04-01,127.4
1917-05-01,126.7
1917-06-01,124
1917-07-01,122.8
1917-08-01,119.5
1917-09-01,118.5
1917-10-01,119.4
1917-11-01,120.4
1917-12-01,104.5
1918-01-01,87.9
1918-02-01,92.9
1918-03-01,115.8
1918-04-01,122.7
1918-05-01,124.6
1918-06-01,123.4
1918-07-01,122.9
1918-08-01,121.2
1918-09-01,126.7
1918-10-01,123.8
1918-11-01,123.7
1918-12-01,122
1919-01-01,117.5
1919-02-01,115.3
1919-03-01,108.7
1919-04-01,90.4
1919-05-01,74.5
1919-06-01,77
1919-07-01,84.8
1919-08-01,95.5
1919-09-01,89.9
1919-10-01,64.8
1919-11-01,86.2
1919-12-01,91.7
1920-01-01,105
1920-02-01,109.8
1920-03-01,117.1
1920-04-01,97.8
1920-05-01,103.2
1920-06-01,107.7
1920-07-01,105.3
1920-08-01,108
1920-09-01,110.3
1920-10-01,112.3
1920-11-01,103.3
1920-12-01,91.7
1921-01-01,81.9
1921-02-01,72.9
1921-03-01,54.1
1921-04-01,41.7
1921-05-01,41.3
1921-06-01,37.1
1921-07-01,29.1
1921-08-01,32
1921-09-01,34.1
1921-10-01,41.7
1921-11-01,48.9
1921-12-01,55.1
1922-01-01,54.8
1922-02-01,60
1922-03-01,67.7
1922-04-01,71
1922-05-01,76.5
1922-06-01,80.7
1922-07-01,79.5
1922-08-01,59.9
1922-09-01,69.2
1922-10-01,86.7
1922-11-01,96.7
1922-12-01,101.2
1923-01-01,105.8
1923-02-01,108.3
1923-03-01,115.1
1923-04-01,119.6
1923-05-01,125.9
1923-06-01,123.4
1923-07-01,119.3
1923-08-01,111.8
1923-09-01,104.6
1923-10-01,101.9
1923-11-01,96.5
1923-12-01,94.2
1924-01-01,97.1
1924-02-01,105.7
1924-03-01,111.3
1924-04-01,107.3
1924-05-01,83.8
1924-06-01,67.1
1924-07-01,57.1
1924-08-01,60.2
1924-09-01,67.7
1924-10-01,79
1924-11-01,82.6
1924-12-01,94.1
1925-01-01,107
1925-02-01,112.9
1925-03-01,113.1
1925-04-01,106.6
1925-05-01,92.8
1925-06-01,87.3
1925-07-01,84
1925-08-01,85.3
1925-09-01,88.6
1925-10-01,95.1
1925-11-01,98.1
1925-12-01,97.8
1926-01-01,103.9
1926-02-01,101.5
1926-03-01,107.6
1926-04-01,111.6
1926-05-01,108.7
1926-06-01,104.4
1926-07-01,100.5
1926-08-01,99.7
1926-09-01,100.8
1926-10-01,103.8
1926-11-01,103.9
1926-12-01,96
1927-01-01,96.3
1927-02-01,100.8
1927-03-01,107.9
1927-04-01,109.3
1927-05-01,104.8
1927-06-01,98.6
1927-07-01,91.1
1927-08-01,90.8
1927-09-01,88.3
1927-10-01,85.6
1927-11-01,84.2
1927-12-01,82.8
1928-01-01,88
1928-02-01,95.1
1928-03-01,98.2
1928-04-01,100.9
1928-05-01,100.6
1928-06-01,97.5
1928-07-01,93.9
1928-08-01,95.8
1928-09-01,96.6
1928-10-01,103
1928-11-01,104.1
1928-12-01,102.6
1929-01-01,104.7
1929-02-01,108
1929-03-01,113.1
1929-04-01,115.1
1929-05-01,118.5
1929-06-01,116.6
1929-07-01,114.9
1929-08-01,113.8
1929-09-01,109.6
1929-10-01,108.8
1929-11-01,99.6
1929-12-01,85.7
1930-01-01,85.4
1930-02-01,95
1930-03-01,98
1930-04-01,99.3
1930-05-01,97.5
1930-06-01,91.3
1930-07-01,79.5
1930-08-01,76.1
1930-09-01,70.8
1930-10-01,65.1
1930-11-01,58
1930-12-01,50
1931-01-01,51.5
1931-02-01,56.7
1931-03-01,61
1931-04-01,62.6
1931-05-01,59.7
1931-06-01,50.7
1931-07-01,43.8
1931-08-01,38.3
1931-09-01,36.2
1931-10-01,35.1
1931-11-01,34.1
1931-12-01,29.3
1932-01-01,29.1
1932-02-01,30.8
1932-03-01,28.9
1932-04-01,26.3
1932-05-01,23.4
1932-06-01,19.4
1932-07-01,17
1932-08-01,15.8
1932-09-01,18.2
1932-10-01,19.2
1932-11-01,19.4
1932-12-01,16.2
1933-01-01,16.9
1933-02-01,18.3
1933-03-01,16.1
1933-04-01,19.1
1933-05-01,26.4
1933-06-01,38.8
1933-07-01,53.2
1933-08-01,54.4
1933-09-01,46.6
1933-10-01,40.2
1933-11-01,33.2
1933-12-01,35
1934-01-01,36
1934-02-01,41.4
1934-03-01,47.9
1934-04-01,52.9
1934-05-01,60.5
1934-06-01,58.9
1934-07-01,36.2
1934-08-01,31.2
1934-09-01,27.4
1934-10-01,28.1
1934-11-01,29.2
1934-12-01,30.3
1935-01-01,43.6
1935-02-01,52.5
1935-03-01,52.3
1935-04-01,50.7
1935-05-01,50.9
1935-06-01,47.3
1935-07-01,44.9
1935-08-01,51.9
1935-09-01,54
1935-10-01,58.3
1935-11-01,62.9
1935-12-01,62
1936-01-01,59.6
