"Date","TP30A28"
2013-05-01,0.06
2013-06-01,0.663
2013-07-01,0.832
2013-08-01,0.902
2013-09-01,0.993
2013-10-01,0.804
2013-11-01,0.946
2013-12-01,1.108
2014-01-01,0.964
2014-02-01,0.882
2014-03-01,0.865
2014-04-01,0.812
2014-05-01,0.62
2014-06-01,0.654
2014-07-01,0.538
2014-08-01,0.474
2014-09-01,0.692
2014-10-01,0.603
2014-11-01,0.639
2014-12-01,0.624
2015-01-01,0.438
2015-02-01,0.446
2015-03-01,0.422
2015-04-01,0.292
2015-05-01,0.528
2015-06-01,0.661
2015-07-01,0.654
2015-08-01,0.693
2015-09-01,0.846
2015-10-01,0.758
2015-11-01,0.86
2015-12-01,0.898
2016-01-01,0.868
2016-02-01,0.692
2016-03-01,0.566
2016-04-01,0.405
2016-05-01,0.406
2016-06-01,0.359
2016-07-01,0.244
2016-08-01,0.3
2016-09-01,0.324
2016-10-01,0.316
2016-11-01,0.527
2016-12-01,0.749
2017-01-01,0.594
2017-02-01,0.529
2017-03-01,0.583
2017-04-01,0.48
2017-05-01,0.552
2017-06-01,0.526
2017-07-01,0.634
2017-08-01,0.524
2017-09-01,0.463
2017-10-01,0.59
2017-11-01,0.564
2017-12-01,0.556
2018-01-01,0.579
2018-02-01,0.769
2018-03-01,0.756
2018-04-01,0.742
2018-05-01,0.832
2018-06-01,0.796
2018-07-01,0.789
2018-08-01,0.822
2018-09-01,0.918
2018-10-01,1.078
2018-11-01,1.152
2018-12-01,1.064
2019-01-01,0.961
2019-02-01,0.817
2019-03-01,0.677
2019-04-01,0.604
2019-05-01,0.575
2019-06-01,0.381
2019-07-01,0.34
2019-08-01,0.109
2019-09-01,0.203
2019-10-01,0.23
2019-11-01,0.244
2019-12-01,0.206
2020-01-01,0.083
2020-02-01,-0.089
2020-03-01,0.07
2020-04-01,-0.258
2020-05-01,-0.337
2020-06-01,-0.545
2020-07-01,-0.861
