"Date","IR3TED01USM156N"
1968-04-01,6.66
1968-05-01,7.16
1968-06-01,6.88
1968-07-01,6.31
1968-08-01,6.16
1968-09-01,6.25
1968-10-01,5.59
1968-11-01,6.94
1968-12-01,7.13
1969-01-01,7.69
1969-02-01,8.5
1969-03-01,8.53
1969-04-01,8.56
1969-05-01,10.56
1969-06-01,10.56
1969-07-01,10.44
1969-08-01,11.31
1969-09-01,11.25
1969-10-01,10
1969-11-01,11
1969-12-01,10.06
1970-01-01,9.59
1970-02-01,9.44
1970-03-01,8.63
1970-04-01,8.69
1970-05-01,9.19
1970-06-01,9.06
1970-07-01,8.5
1970-08-01,8
1970-09-01,8.5
1970-10-01,7.72
1970-11-01,7.25
1970-12-01,6.56
1971-01-01,5.88
1971-02-01,5.34
1971-03-01,5.81
1971-04-01,6.31
1971-05-01,7.63
1971-06-01,6.5
1971-07-01,6.72
1971-08-01,9.25
1971-09-01,7.62
1971-10-01,6.06
1971-11-01,6.5
1971-12-01,5.88
1972-01-01,5.06
1972-02-01,4.97
1972-03-01,5.53
1972-04-01,5.06
1972-05-01,4.63
1972-06-01,5.31
1972-07-01,5.66
1972-08-01,5.5
1972-09-01,5.94
1972-10-01,6.03
1972-11-01,6
1972-12-01,5.91
1973-01-01,6.63
1973-02-01,8.44
1973-03-01,8.69
1973-04-01,8.25
1973-05-01,8.63
1973-06-01,9.06
1973-07-01,11.47
1973-08-01,11.56
1973-09-01,10.47
1973-10-01,9.19
1973-11-01,10.47
1973-12-01,10.19
1974-01-01,8.88
1974-02-01,8.63
1974-03-01,10
1974-04-01,11.69
1974-05-01,11.88
1974-06-01,13.5
1974-07-01,13.56
1974-08-01,13.94
1974-09-01,12.19
1974-10-01,10.12
1974-11-01,10.62
1974-12-01,10.06
1975-01-01,7.44
1975-02-01,7.31
1975-03-01,6.97
1975-04-01,6.81
1975-05-01,6.06
1975-06-01,6.75
1975-07-01,6.97
1975-08-01,7.34
1975-09-01,8.06
1975-10-01,6.81
1975-11-01,7.06
1975-12-01,5.87
1976-01-01,5.37
1976-02-01,5.62
1976-03-01,5.59
1976-04-01,5.53
1976-05-01,6.62
1976-06-01,6
1976-07-01,5.78
1976-08-01,5.62
1976-09-01,5.81
1976-10-01,5.44
1976-11-01,5.19
1976-12-01,5.06
1977-01-01,5.31
1977-02-01,5.19
1977-03-01,5.25
1977-04-01,5.31
1977-05-01,6.16
1977-06-01,5.81
1977-07-01,6.25
1977-08-01,6.31
1977-09-01,6.91
1977-10-01,7.19
1977-11-01,7
1977-12-01,7.19
1978-01-01,7.37
1978-02-01,7.36
1978-03-01,7.33
1978-04-01,7.45
1978-05-01,7.88
1978-06-01,8.38
1978-07-01,8.56
1978-08-01,8.53
1978-09-01,9.16
1978-10-01,10.13
1978-11-01,11.6
1978-12-01,11.61
1979-01-01,11.17
1979-02-01,10.84
1979-03-01,10.71
1979-04-01,10.64
1979-05-01,10.77
1979-06-01,10.59
1979-07-01,10.92
1979-08-01,11.57
1979-09-01,12.67
1979-10-01,14.53
1979-11-01,15.05
1979-12-01,14.6
1980-01-01,14.39
1980-02-01,15.37
1980-03-01,18.84
1980-04-01,17.67
1980-05-01,11.05
1980-06-01,9.43
1980-07-01,9.36
1980-08-01,10.84
1980-09-01,12.12
1980-10-01,13.64
1980-11-01,16.56
1980-12-01,19.45
1981-01-01,18.11
1981-02-01,17.18
1981-03-01,15.34
1981-04-01,15.99
1981-05-01,19.19
1981-06-01,17.91
1981-07-01,18.56
1981-08-01,18.82
1981-09-01,17.8
1981-10-01,16.37
1981-11-01,13.3
1981-12-01,13.33
1982-01-01,14.35
1982-02-01,15.82
1982-03-01,14.94
1982-04-01,15.19
1982-05-01,14.57
1982-06-01,15.38
1982-07-01,14.34
1982-08-01,11.62
1982-09-01,11.7
1982-10-01,10.4
1982-11-01,9.78
1982-12-01,9.49
1983-01-01,9
1983-02-01,9.18
1983-03-01,9.3
1983-04-01,9.21
1983-05-01,9.02
1983-06-01,9.77
1983-07-01,10.04
1983-08-01,10.32
1983-09-01,9.87
1983-10-01,9.6
1983-11-01,9.83
1983-12-01,10.14
1984-01-01,9.83
1984-02-01,9.96
1984-03-01,10.46
1984-04-01,10.89
1984-05-01,11.59
1984-06-01,11.74
1984-07-01,12.05
1984-08-01,11.86
1984-09-01,11.7
1984-10-01,10.8
1984-11-01,9.55
1984-12-01,8.98
1985-01-01,8.43
1985-02-01,9.11
1985-03-01,9.37
1985-04-01,8.75
1985-05-01,8.16
1985-06-01,7.65
1985-07-01,7.95
1985-08-01,8.08
1985-09-01,8.2
1985-10-01,8.13
1985-11-01,8.07
1985-12-01,8.04
1986-01-01,8.06
1986-02-01,7.96
1986-03-01,7.49
1986-04-01,6.86
1986-05-01,6.92
1986-06-01,6.99
1986-07-01,6.6
1986-08-01,6.13
1986-09-01,5.92
1986-10-01,5.93
1986-11-01,6.02
1986-12-01,6.29
1987-01-01,6.13
1987-02-01,6.38
1987-03-01,6.43
1987-04-01,6.78
1987-05-01,7.34
1987-06-01,7.16
1987-07-01,6.93
1987-08-01,6.98
1987-09-01,7.57
1987-10-01,8.32
1987-11-01,7.46
1987-12-01,7.9
1988-01-01,7.15
1988-02-01,6.78
1988-03-01,6.79
1988-04-01,7.13
1988-05-01,7.45
1988-06-01,7.66
1988-07-01,8.13
1988-08-01,8.53
1988-09-01,8.36
1988-10-01,8.55
1988-11-01,8.97
1988-12-01,9.35
1989-01-01,9.38
1989-02-01,9.73
1989-03-01,10.28
1989-04-01,10.12
1989-05-01,9.72
1989-06-01,9.35
1989-07-01,8.94
1989-08-01,8.8
1989-09-01,8.94
1989-10-01,8.75
1989-11-01,8.52
1989-12-01,8.48
1990-01-01,8.32
1990-02-01,8.33
1990-03-01,8.46
1990-04-01,8.53
1990-05-01,8.44
1990-06-01,8.31
1990-07-01,8.18
1990-08-01,8.07
1990-09-01,8.16
1990-10-01,8.14
1990-11-01,8.13
1990-12-01,7.9
1991-01-01,7.3
1991-02-01,6.66
1991-03-01,6.55
1991-04-01,6.19
1991-05-01,6.03
1991-06-01,6.19
1991-07-01,6.11
1991-08-01,5.75
1991-09-01,5.58
1991-10-01,5.44
1991-11-01,5.03
1991-12-01,4.56
1992-01-01,4.13
1992-02-01,4.11
1992-03-01,4.32
1992-04-01,4.13
1992-05-01,3.9
1992-06-01,3.92
1992-07-01,3.44
1992-08-01,3.39
1992-09-01,3.22
1992-10-01,3.36
1992-11-01,3.73
1992-12-01,3.58
1993-01-01,3.29
1993-02-01,3.18
1993-03-01,3.18
1993-04-01,3.16
1993-05-01,3.18
1993-06-01,3.27
1993-07-01,3.23
1993-08-01,3.21
1993-09-01,3.15
1993-10-01,3.32
1993-11-01,3.42
1993-12-01,3.33
1994-01-01,3.21
1994-02-01,3.49
1994-03-01,3.82
1994-04-01,4.07
1994-05-01,4.59
1994-06-01,4.57
1994-07-01,4.8
1994-08-01,4.86
1994-09-01,5.05
1994-10-01,5.56
1994-11-01,5.81
1994-12-01,6.31
1995-01-01,6.29
1995-02-01,6.22
1995-03-01,6.21
1995-04-01,6.18
1995-05-01,6.06
1995-06-01,5.94
1995-07-01,5.84
1995-08-01,5.83
1995-09-01,5.77
1995-10-01,5.84
1995-11-01,5.77
1995-12-01,5.67
1996-01-01,5.45
1996-02-01,5.19
1996-03-01,5.37
1996-04-01,5.42
1996-05-01,5.41
1996-06-01,5.48
1996-07-01,5.55
1996-08-01,5.44
1996-09-01,5.54
1996-10-01,5.46
1996-11-01,5.45
1996-12-01,5.52
1997-01-01,5.52
1997-02-01,5.43
1997-03-01,5.56
1997-04-01,5.74
1997-05-01,5.73
1997-06-01,5.71
1997-07-01,5.66
1997-08-01,5.64
1997-09-01,5.64
1997-10-01,5.69
1997-11-01,5.78
1997-12-01,5.83
1998-01-01,5.59
1998-02-01,5.64
1998-03-01,5.6
1998-04-01,5.61
1998-05-01,5.62
1998-06-01,5.63
1998-07-01,5.61
1998-08-01,5.6
1998-09-01,5.43
1998-10-01,5.22
1998-11-01,5.27
1998-12-01,5.18
1999-01-01,4.93
1999-02-01,4.93
1999-03-01,4.94
1999-04-01,4.91
1999-05-01,4.94
1999-06-01,5.13
1999-07-01,5.26
1999-08-01,5.42
1999-09-01,5.52
1999-10-01,6.15
1999-11-01,6.05
1999-12-01,6.11
2000-01-01,5.99
2000-02-01,6.04
2000-03-01,6.16
2000-04-01,6.29
2000-05-01,6.71
2000-06-01,6.76
2000-07-01,6.69
2000-08-01,6.65
2000-09-01,6.63
2000-10-01,6.7
2000-11-01,6.69
2000-12-01,6.48
2001-01-01,5.66
2001-02-01,5.3
2001-03-01,4.92
2001-04-01,4.57
2001-05-01,4.04
2001-06-01,3.77
2001-07-01,3.71
2001-08-01,3.52
2001-09-01,2.96
2001-10-01,2.35
2001-11-01,2.05
2001-12-01,1.87
2002-01-01,1.78
2002-02-01,1.86
2002-03-01,1.95
2002-04-01,1.92
2002-05-01,1.86
2002-06-01,1.84
2002-07-01,1.81
2002-08-01,1.74
2002-09-01,1.77
2002-10-01,1.75
2002-11-01,1.43
2002-12-01,1.38
2003-01-01,1.31
2003-02-01,1.29
2003-03-01,1.24
2003-04-01,1.26
2003-05-01,1.25
2003-06-01,1.06
2003-07-01,1.07
2003-08-01,1.09
2003-09-01,1.1
2003-10-01,1.12
2003-11-01,1.13
2003-12-01,1.13
2004-01-01,1.08
2004-02-01,1.07
2004-03-01,1.06
2004-04-01,1.1
2004-05-01,1.21
2004-06-01,1.46
2004-07-01,1.59
2004-08-01,1.7
2004-09-01,1.89
2004-10-01,2.05
2004-11-01,2.28
2004-12-01,2.47
2005-01-01,2.64
2005-02-01,2.8
2005-03-01,2.99
2005-04-01,3.11
2005-05-01,3.24
2005-06-01,3.4
2005-07-01,3.58
2005-08-01,3.78
2005-09-01,3.88
2005-10-01,4.14
2005-11-01,4.33
2005-12-01,4.47
2006-01-01,4.59
2006-02-01,4.74
2006-03-01,4.9
2006-04-01,5.04
2006-05-01,5.16
2006-06-01,5.36
2006-07-01,5.47
2006-08-01,5.38
2006-09-01,5.35
2006-10-01,5.33
2006-11-01,5.34
2006-12-01,5.32
2007-01-01,5.32
2007-02-01,5.33
2007-03-01,5.31
2007-04-01,5.31
2007-05-01,5.31
2007-06-01,5.33
2007-07-01,5.34
2007-08-01,5.47
2007-09-01,5.54
2007-10-01,5.13
2007-11-01,4.97
2007-12-01,5.01
2008-01-01,3.87
2008-02-01,3.07
2008-03-01,2.8
2008-04-01,3
2008-05-01,2.86
2008-06-01,2.94
2008-07-01,2.99
2008-08-01,2.98
2008-09-01,3.61
2008-10-01,4.7
2008-11-01,3.3
2008-12-01,2.32
2009-01-01,1.42
2009-02-01,1.58
2009-03-01,1.57
2009-04-01,1.32
2009-05-01,1.01
2009-06-01,0.93
2009-07-01,0.76
2009-08-01,0.76
2009-09-01,0.58
2009-10-01,0.51
2009-11-01,0.44
2009-12-01,0.37
2010-01-01,0.38
2010-02-01,0.4
2010-03-01,0.44
2010-04-01,0.5
2010-05-01,0.69
2010-06-01,0.81
2010-07-01,0.81
2010-08-01,0.54
2010-09-01,0.44
2010-10-01,0.45
2010-11-01,0.47
2010-12-01,0.4
2011-01-01,0.46
2011-02-01,0.42
2011-03-01,0.41
2011-04-01,0.44
2011-05-01,0.33
2011-06-01,0.36
2011-07-01,0.41
2011-08-01,0.37
2011-09-01,0.4
2011-10-01,0.43
2011-11-01,0.45
2011-12-01,0.55
2012-01-01,0.47
2012-02-01,0.41
2012-03-01,0.4
2012-04-01,0.45
2012-05-01,0.47
2012-06-01,0.46
2012-07-01,0.48
2012-08-01,0.44
2012-09-01,0.41
2012-10-01,0.34
2012-11-01,0.35
2012-12-01,0.36
2013-01-01,0.4
2013-02-01,0.43
2013-03-01,0.41
2013-04-01,0.41
2013-05-01,0.38
2013-06-01,0.34
2013-07-01,0.32
2013-08-01,0.31
2013-09-01,0.29
2013-10-01,0.26
2013-11-01,0.23
2013-12-01,0.25
2014-01-01,0.23
2014-02-01,0.25
2014-03-01,0.24
2014-04-01,0.23
2014-05-01,0.25
2014-06-01,0.29
2014-07-01,0.28
2014-08-01,0.33
2014-09-01,0.32
2014-10-01,0.27
2014-11-01,0.29
2014-12-01,0.37
2015-01-01,0.4
2015-02-01,0.37
2015-03-01,0.39
2015-04-01,0.4
2015-05-01,0.29
2015-06-01,0.36
2015-07-01,0.4
2015-08-01,0.46
2015-09-01,0.49
2015-10-01,0.54
2015-11-01,0.74
2015-12-01,0.75
2016-01-01,0.76
2016-02-01,0.77
2016-03-01,0.77
2016-04-01,0.8
2016-05-01,0.8
2016-06-01,0.84
2016-07-01,1
2016-08-01,0.85
2016-09-01,0.89
2016-10-01,0.91
2016-11-01,0.92
2016-12-01,0.96
2017-01-01,1.02
2017-02-01,1.04
2017-03-01,1.13
2017-04-01,1.17
2017-05-01,1.17
2017-06-01,1.23
2017-07-01,1.3
2017-08-01,1.35
2017-09-01,1.36
2017-10-01,1.4
2017-11-01,1.49
2017-12-01,1.66
2018-01-01,1.83
2018-02-01,1.94
2018-03-01,2.24
2018-04-01,2.4
2018-05-01,2.38
2018-06-01,2.39
2018-07-01,2.39
2018-08-01,2.39
2018-09-01,2.4
2018-10-01,2.51
2018-11-01,2.69
2018-12-01,2.84
2019-01-01,2.81
2019-02-01,2.69
2019-03-01,2.62
2019-04-01,2.6
2019-05-01,2.54
2019-06-01,2.4
2019-07-01,2.3
2019-08-01,2.17
2019-09-01,2.13
2019-10-01,1.98
2019-11-01,1.91
2019-12-01,1.9
2020-01-01,1.81
2020-02-01,1.66
2020-03-01,1.08
2020-04-01,0.99
2020-05-01,0.29
2020-06-01,0.23
2020-07-01,0.2
2020-08-01,0.2
2020-09-01,0.2
2020-10-01,0.19
2020-11-01,0.19
2020-12-01,0.2
2021-01-01,0.19
2021-02-01,0.19
2021-03-01,0.19
2021-04-01,0.18
2021-05-01,0.16
2021-06-01,0.16
