"Date","H0RIFSPPFM01NM"
1965-10-01,4.25
1965-11-01,4.3
1965-12-01,4.58
1966-01-01,4.81
1966-02-01,4.88
1966-03-01,5.03
1966-04-01,5.25
1966-05-01,5.38
1966-06-01,5.39
1966-07-01,5.51
1966-08-01,5.63
1966-09-01,5.68
1966-10-01,5.82
1966-11-01,5.88
1966-12-01,5.88
1967-01-01,5.46
1967-02-01,5.11
1967-03-01,5.01
1967-04-01,4.49
1967-05-01,4.33
1967-06-01,4.4
1967-07-01,4.6
1967-08-01,4.63
1967-09-01,4.65
1967-10-01,4.87
1967-11-01,4.93
1967-12-01,5.4
1968-01-01,5.29
1968-02-01,5
1968-03-01,5.29
1968-04-01,5.6
1968-05-01,5.99
1968-06-01,6.07
1968-07-01,5.98
1968-08-01,5.73
1968-09-01,5.62
1968-10-01,5.64
1968-11-01,5.75
1968-12-01,5.99
1969-01-01,6.34
1969-02-01,6.33
1969-03-01,6.49
1969-04-01,6.58
1969-05-01,6.88
1969-06-01,7.54
1969-07-01,8.25
1969-08-01,7.87
1969-09-01,7.5
1969-10-01,7.84
1969-11-01,8
1969-12-01,8.37
1970-01-01,8.48
1970-02-01,8.25
1970-03-01,7.96
1970-04-01,7.38
1970-05-01,7.48
1970-06-01,7.74
1970-07-01,7.89
1970-08-01,7.76
1970-09-01,7.18
1970-10-01,6.7
1970-11-01,6.43
1970-12-01,5.26
1971-01-01,4.85
1971-02-01,4
1971-03-01,3.5
1971-04-01,4.04
1971-05-01,4.59
1971-06-01,5.13
1971-07-01,5.48
1971-08-01,5.45
1971-09-01,5.38
1971-10-01,5.11
1971-11-01,4.54
1971-12-01,4.32
1972-01-01,3.69
1972-02-01,3.15
1972-03-01,3.52
1972-04-01,4.18
1972-05-01,4.11
1972-06-01,4.32
1972-07-01,4.52
1972-08-01,4.42
1972-09-01,4.72
1972-10-01,4.89
1972-11-01,4.87
1972-12-01,5.15
1973-01-01,5.51
1973-02-01,5.96
1973-03-01,6.5
1973-04-01,6.87
1973-05-01,7.05
1973-06-01,7.78
1973-07-01,8.92
1973-08-01,9.81
1973-09-01,10
1973-10-01,8.78
1973-11-01,8.83
1973-12-01,9.08
1974-01-01,8.59
1974-02-01,7.95
1974-03-01,8.22
1974-04-01,9.3
1974-05-01,9.86
1974-06-01,10.17
1974-07-01,10.45
1974-08-01,10.52
1974-09-01,10.31
1974-10-01,9.43
1974-11-01,8.72
1974-12-01,8.85
1975-01-01,7.31
1975-02-01,6.17
1975-03-01,5.93
1975-04-01,5.84
1975-05-01,5.38
1975-06-01,5.27
1975-07-01,6
1975-08-01,6.27
1975-09-01,6.41
1975-10-01,6.02
1975-11-01,5.38
1975-12-01,5.47
1976-01-01,4.72
1976-02-01,4.77
1976-03-01,5
1976-04-01,4.74
1976-05-01,5.08
1976-06-01,5.5
1976-07-01,5.18
1976-08-01,5.06
1976-09-01,4.96
1976-10-01,4.8
1976-11-01,4.76
1976-12-01,4.44
1977-01-01,4.57
1977-02-01,4.55
1977-03-01,4.6
1977-04-01,4.61
1977-05-01,4.98
1977-06-01,5.26
1977-07-01,5.22
1977-08-01,5.6
1977-09-01,5.96
1977-10-01,6.36
1977-11-01,6.34
1977-12-01,6.5
1978-01-01,6.58
1978-02-01,6.53
1978-03-01,6.46
1978-04-01,6.61
1978-05-01,6.87
1978-06-01,7.45
1978-07-01,7.68
1978-08-01,7.64
1978-09-01,8.26
1978-10-01,8.76
1978-11-01,9.8
1978-12-01,10.13
1979-01-01,9.91
1979-02-01,9.7
1979-03-01,9.64
1979-04-01,9.63
1979-05-01,9.83
1979-06-01,9.73
1979-07-01,9.8
1979-08-01,10.35
1979-09-01,11.45
1979-10-01,12.85
1979-11-01,13.25
1979-12-01,13.27
1980-01-01,13.01
1980-02-01,13.58
1980-03-01,16.3
1980-04-01,15.7
1980-05-01,9.3
1980-06-01,8.01
1980-07-01,8.37
1980-08-01,9.3
1980-09-01,10.62
1980-10-01,12.32
1980-11-01,14.87
1980-12-01,17.87
1981-01-01,16.97
1981-02-01,15.52
1981-03-01,13.78
1981-04-01,14.24
1981-05-01,17.47
1981-06-01,16.66
1981-07-01,17.29
1981-08-01,17.37
1981-09-01,15.68
1981-10-01,14.63
1981-11-01,12.13
1981-12-01,11.89
1982-01-01,12.67
1982-02-01,14.41
1982-03-01,13.73
1982-04-01,14.17
1982-05-01,13.49
1982-06-01,13.79
1982-07-01,12.42
1982-08-01,9.32
1982-09-01,9.89
1982-10-01,8.89
1982-11-01,8.51
1982-12-01,8.35
1983-01-01,8.03
1983-02-01,8.25
1983-03-01,8.48
1983-04-01,8.52
1983-05-01,8.28
1983-06-01,8.86
1983-07-01,9.13
1983-08-01,9.35
1983-09-01,9.15
1983-10-01,8.99
1983-11-01,9.06
1983-12-01,9.51
1984-01-01,9.2
1984-02-01,9.34
1984-03-01,9.76
1984-04-01,10.08
1984-05-01,10.26
1984-06-01,10.76
1984-07-01,10.99
1984-08-01,11.16
1984-09-01,10.98
1984-10-01,9.92
1984-11-01,8.92
1984-12-01,8.25
1985-01-01,7.95
1985-02-01,8.42
1985-03-01,8.7
1985-04-01,8.29
1985-05-01,7.74
1985-06-01,7.31
1985-07-01,7.53
1985-08-01,7.7
1985-09-01,7.84
1985-10-01,7.79
1985-11-01,7.81
1985-12-01,7.81
1986-01-01,7.75
1986-02-01,7.68
1986-03-01,7.24
1986-04-01,6.69
1986-05-01,6.73
1986-06-01,6.8
1986-07-01,6.42
1986-08-01,5.98
1986-09-01,5.76
1986-10-01,5.74
1986-11-01,5.79
1986-12-01,6.32
1987-01-01,5.86
1987-02-01,6.02
1987-03-01,6.11
1987-04-01,6.28
1987-05-01,6.78
1987-06-01,6.8
1987-07-01,6.53
1987-08-01,6.56
1987-09-01,7.2
1987-10-01,7.28
1987-11-01,6.63
1987-12-01,7.23
1988-01-01,6.65
1988-02-01,6.45
1988-03-01,6.44
1988-04-01,6.71
1988-05-01,6.96
1988-06-01,7.23
1988-07-01,7.62
1988-08-01,7.96
1988-09-01,7.96
1988-10-01,8.05
1988-11-01,8.29
1988-12-01,9
1989-01-01,8.9
1989-02-01,9.21
1989-03-01,9.77
1989-04-01,9.7
1989-05-01,9.48
1989-06-01,9.24
1989-07-01,8.8
1989-08-01,8.67
1989-09-01,8.76
1989-10-01,8.54
1989-11-01,8.33
1989-12-01,8.4
1990-01-01,8.09
1990-02-01,8.13
1990-03-01,8.23
1990-04-01,8.23
1990-05-01,8.14
1990-06-01,8.12
1990-07-01,7.99
1990-08-01,7.88
1990-09-01,7.98
1990-10-01,7.92
1990-11-01,7.64
1990-12-01,7.62
1991-01-01,6.95
1991-02-01,6.31
1991-03-01,6.31
1991-04-01,5.95
1991-05-01,5.76
1991-06-01,5.93
1991-07-01,5.86
1991-08-01,5.58
1991-09-01,5.43
1991-10-01,5.18
1991-11-01,4.8
1991-12-01,4.69
1992-01-01,3.99
1992-02-01,4.01
1992-03-01,4.18
1992-04-01,3.89
1992-05-01,3.76
1992-06-01,3.81
1992-07-01,3.33
1992-08-01,3.28
1992-09-01,3.13
1992-10-01,3.14
1992-11-01,3.2
1992-12-01,3.68
1993-01-01,3.25
1993-02-01,3.18
1993-03-01,3.15
1993-04-01,3.06
1993-05-01,3.05
1993-06-01,3.12
1993-07-01,3.08
1993-08-01,3.08
1993-09-01,3.07
1993-10-01,3.08
1993-11-01,3.08
1993-12-01,3.21
1994-01-01,3.07
1994-02-01,3.3
1994-03-01,3.53
1994-04-01,3.71
1994-05-01,4.19
1994-06-01,4.27
1994-07-01,4.4
1994-08-01,4.56
1994-09-01,4.79
1994-10-01,4.91
1994-11-01,5.3
1994-12-01,5.93
1995-01-01,5.76
1995-02-01,5.95
1995-03-01,5.95
1995-04-01,5.96
1995-05-01,5.94
1995-06-01,5.92
1995-07-01,5.74
1995-08-01,5.72
1995-09-01,5.71
1995-10-01,5.71
1995-11-01,5.69
1995-12-01,5.7
1996-01-01,5.44
1996-02-01,5.2
1996-03-01,5.29
1996-04-01,5.31
1996-05-01,5.29
1996-06-01,5.35
1996-07-01,5.33
1996-08-01,5.28
1996-09-01,5.33
1996-10-01,5.25
1996-11-01,5.25
1996-12-01,5.41
1997-01-01,5.31
1997-02-01,5.27
1997-03-01,5.39
1997-04-01,5.51
1997-05-01,5.53
1997-06-01,5.53
1997-07-01,5.49
1997-08-01,5.49
