"Date","MVMTD027MNFRBDAL"
1974-01-01,261.4
1974-02-01,260.6
1974-03-01,259.5
1974-04-01,256.5
1974-05-01,256.8
1974-06-01,253.5
1974-07-01,254.3
1974-08-01,256.3
1974-09-01,260.1
1974-10-01,262.4
1974-11-01,268.3
1974-12-01,274.8
1975-01-01,279.7
1975-02-01,282.3
1975-03-01,293.1
1975-04-01,293.3
1975-05-01,308.3
1975-06-01,306.5
1975-07-01,314.8
1975-08-01,321.7
1975-09-01,327.7
1975-10-01,344.2
1975-11-01,348
1975-12-01,357.6
1976-01-01,365.2
1976-02-01,373.7
1976-03-01,376.2
1976-04-01,382.4
1976-05-01,380
1976-06-01,381.3
1976-07-01,393.3
1976-08-01,402.2
1976-09-01,406.2
1976-10-01,408.4
1976-11-01,419.2
1976-12-01,425.5
1977-01-01,421.8
1977-02-01,429
1977-03-01,433.4
1977-04-01,431.9
1977-05-01,429.3
1977-06-01,430.5
1977-07-01,427
1977-08-01,430.5
1977-09-01,439.3
1977-10-01,440.9
1977-11-01,443.7
1977-12-01,452.2
1978-01-01,457.5
1978-02-01,461
1978-03-01,473.6
1978-04-01,460.5
1978-05-01,454.5
1978-06-01,462.1
1978-07-01,466.6
1978-08-01,471.9
1978-09-01,470
1978-10-01,470.6
1978-11-01,471.7
1978-12-01,464.7
1979-01-01,471.4
1979-02-01,469.6
1979-03-01,480.3
1979-04-01,480.5
1979-05-01,488.9
1979-06-01,485.6
1979-07-01,490.8
1979-08-01,489.8
1979-09-01,484.7
1979-10-01,472.8
1979-11-01,490.4
1979-12-01,501.2
1980-01-01,499.3
1980-02-01,486.7
1980-03-01,500.7
1980-04-01,524.6
1980-05-01,551
1980-06-01,552.7
1980-07-01,554.4
1980-08-01,548.6
1980-09-01,554.8
1980-10-01,552.4
1980-11-01,554.9
1980-12-01,567.5
1981-01-01,581.4
1981-02-01,589.2
1981-03-01,620.3
1981-04-01,598.5
1981-05-01,602.6
1981-06-01,607.3
1981-07-01,603.4
1981-08-01,602.7
1981-09-01,603.3
1981-10-01,633
1981-11-01,673.6
1981-12-01,674.1
1982-01-01,676
1982-02-01,689.1
1982-03-01,694.6
1982-04-01,713.3
1982-05-01,716.3
1982-06-01,704.4
1982-07-01,738
1982-08-01,781.4
1982-09-01,816.3
1982-10-01,833.2
1982-11-01,858.9
1982-12-01,892.5
1983-01-01,893
1983-02-01,920.6
1983-03-01,942.8
1983-04-01,948.2
1983-05-01,957.5
1983-06-01,974.8
1983-07-01,965.6
1983-08-01,988
1983-09-01,1013.1
1983-10-01,1020.9
1983-11-01,1031.8
1983-12-01,1032.1
1984-01-01,1067.9
1984-02-01,1076.9
1984-03-01,1064.9
1984-04-01,1083.5
1984-05-01,1068.1
1984-06-01,1064.2
1984-07-01,1115.4
1984-08-01,1141.9
1984-09-01,1143.4
1984-10-01,1195.8
1984-11-01,1218.6
1984-12-01,1250.5
1985-01-01,1258.5
1985-02-01,1259.5
1985-03-01,1261.5
1985-04-01,1301.1
1985-05-01,1345.8
1985-06-01,1345.1
1985-07-01,1365.6
1985-08-01,1377.6
1985-09-01,1387.5
1985-10-01,1402.7
1985-11-01,1444.7
1985-12-01,1491.8
1986-01-01,1499.8
1986-02-01,1549.1
1986-03-01,1592
1986-04-01,1596
1986-05-01,1568.4
1986-06-01,1618.8
1986-07-01,1629.3
1986-08-01,1661.6
1986-09-01,1660.3
1986-10-01,1674.7
1986-11-01,1704.1
1986-12-01,1732.6
1987-01-01,1720.6
1987-02-01,1731.3
1987-03-01,1727.5
1987-04-01,1692.5
1987-05-01,1680.6
1987-06-01,1704
1987-07-01,1683.1
1987-08-01,1701.6
1987-09-01,1661.1
1987-10-01,1714
1987-11-01,1734.4
1987-12-01,1746.6
1988-01-01,1772.8
1988-02-01,1804.5
1988-03-01,1793.6
1988-04-01,1763.3
1988-05-01,1763.7
1988-06-01,1787.8
1988-07-01,1761.6
1988-08-01,1782.8
1988-09-01,1792.7
1988-10-01,1822.4
1988-11-01,1835.4
1988-12-01,1805.3
1989-01-01,1859.3
1989-02-01,1819.6
1989-03-01,1828.5
1989-04-01,1851.4
1989-05-01,1894.6
1989-06-01,1921.3
1989-07-01,1936.7
1989-08-01,1943.4
1989-09-01,1924.7
1989-10-01,2003.9
1989-11-01,2020.8
1989-12-01,2009
1990-01-01,1949.3
1990-02-01,2008.5
1990-03-01,2003.7
1990-04-01,1989.6
1990-05-01,2035.1
1990-06-01,2052.9
1990-07-01,2119.8
1990-08-01,2126
1990-09-01,2119.8
1990-10-01,2149.5
1990-11-01,2223.6
1990-12-01,2248.8
1991-01-01,2280
1991-02-01,2313.4
1991-03-01,2280.5
1991-04-01,2297.3
1991-05-01,2332.2
1991-06-01,2307.5
1991-07-01,2347.1
1991-08-01,2420.4
1991-09-01,2394.2
1991-10-01,2529.6
1991-11-01,2546.3
1991-12-01,2604.7
1992-01-01,2600.8
1992-02-01,2597.2
1992-03-01,2639.7
1992-04-01,2771.3
1992-05-01,2612.6
1992-06-01,2711.9
1992-07-01,2658.5
1992-08-01,2832.5
1992-09-01,2761.6
1992-10-01,2797.3
1992-11-01,2763.8
1992-12-01,2893.1
1993-01-01,2899.8
1993-02-01,2944.4
1993-03-01,2973
1993-04-01,2987.8
1993-05-01,2999
1993-06-01,3037.2
1993-07-01,3060
1993-08-01,3156.4
1993-09-01,3139.9
1993-10-01,3121.9
1993-11-01,3180.9
1993-12-01,3183
1994-01-01,3200.4
1994-02-01,3168.3
1994-03-01,3130.6
1994-04-01,3065.5
1994-05-01,3092.7
1994-06-01,3079.7
1994-07-01,3087.7
1994-08-01,3119.8
1994-09-01,3092.3
1994-10-01,3110
1994-11-01,3107.1
1994-12-01,3094.1
1995-01-01,3168
1995-02-01,3232.7
1995-03-01,3258.7
1995-04-01,3226.2
1995-05-01,3318
1995-06-01,3378.9
1995-07-01,3365
1995-08-01,3405.4
1995-09-01,3388
1995-10-01,3446.3
1995-11-01,3524.5
1995-12-01,3501.3
1996-01-01,3502.6
1996-02-01,3522.8
1996-03-01,3477.2
1996-04-01,3442.8
1996-05-01,3445
1996-06-01,3419.8
1996-07-01,3448.2
1996-08-01,3442.5
1996-09-01,3489.7
1996-10-01,3539.3
1996-11-01,3580.4
1996-12-01,3527.1
1997-01-01,3528.2
1997-02-01,3554.3
1997-03-01,3543.4
1997-04-01,3516.7
1997-05-01,3479.6
1997-06-01,3509.7
1997-07-01,3552.3
1997-08-01,3524
1997-09-01,3557.7
1997-10-01,3581.9
1997-11-01,3575.1
1997-12-01,3613.4
1998-01-01,3579.1
1998-02-01,3584.7
1998-03-01,3623.1
1998-04-01,3551.2
1998-05-01,3516.5
1998-06-01,3547
1998-07-01,3519.9
1998-08-01,3613
1998-09-01,3610.8
1998-10-01,3567
1998-11-01,3609.5
1998-12-01,3591.3
1999-01-01,3530.3
1999-02-01,3456.6
1999-03-01,3521.6
1999-04-01,3427.1
1999-05-01,3360.2
1999-06-01,3353.7
1999-07-01,3312.2
1999-08-01,3358.1
1999-09-01,3316
1999-10-01,3281
1999-11-01,3297.2
1999-12-01,3309.2
2000-01-01,3221.5
2000-02-01,3259.5
2000-03-01,3332.4
2000-04-01,3174.5
2000-05-01,3138.9
2000-06-01,3138.4
2000-07-01,3124
2000-08-01,3151.9
2000-09-01,3080
2000-10-01,3089.6
2000-11-01,3159.2
2000-12-01,3119.9
2001-01-01,3143.3
2001-02-01,3169.5
2001-03-01,3158.1
2001-04-01,3018.7
2001-05-01,2995.2
2001-06-01,2956.3
2001-07-01,3021.8
2001-08-01,3110.5
2001-09-01,3102.5
2001-10-01,3172.7
2001-11-01,3179.1
2001-12-01,3142.4
2002-01-01,3128
2002-02-01,3202.9
2002-03-01,3118.3
2002-04-01,3143.7
2002-05-01,3196.9
2002-06-01,3195.5
2002-07-01,3301.6
2002-08-01,3359.7
2002-09-01,3425.7
2002-10-01,3417.8
2002-11-01,3416.3
2002-12-01,3490.4
2003-01-01,3467
2003-02-01,3575.5
2003-03-01,3599.7
2003-04-01,3581.7
2003-05-01,3646
2003-06-01,3693
2003-07-01,3621.5
2003-08-01,3642.3
2003-09-01,3725.6
2003-10-01,3743
2003-11-01,3751.3
2003-12-01,3803.3
2004-01-01,3789.5
2004-02-01,3893.2
2004-03-01,3995.5
2004-04-01,3876.2
2004-05-01,3876.8
2004-06-01,3923
2004-07-01,3950.1
2004-08-01,4059.3
2004-09-01,4059.2
2004-10-01,4095.4
2004-11-01,4130.7
2004-12-01,4143.1
2005-01-01,4166.2
2005-02-01,4213.1
2005-03-01,4246.9
2005-04-01,4214.6
2005-05-01,4251.9
2005-06-01,4238.5
2005-07-01,4201.1
2005-08-01,4297.7
2005-09-01,4230.6
2005-10-01,4241.1
2005-11-01,4294.9
2005-12-01,4277.2
2006-01-01,4307.7
2006-02-01,4384.4
2006-03-01,4400.7
2006-04-01,4289.3
2006-05-01,4297.7
2006-06-01,4278.8
2006-07-01,4330.2
2006-08-01,4424.8
2006-09-01,4364.7
2006-10-01,4432.8
2006-11-01,4498.1
2006-12-01,4388.9
2007-01-01,4415
2007-02-01,4512.8
2007-03-01,4529.8
2007-04-01,4510.6
2007-05-01,4432
2007-06-01,4351.3
2007-07-01,4483.9
2007-08-01,4608.5
2007-09-01,4540.6
2007-10-01,4600.4
2007-11-01,4774.4
2007-12-01,4754.2
2008-01-01,4834.7
2008-02-01,4985.8
2008-03-01,5063.4
2008-04-01,4902.5
2008-05-01,4860.9
2008-06-01,4917.6
2008-07-01,5013.6
2008-08-01,5107.7
2008-09-01,5456.6
2008-10-01,5893.9
2008-11-01,6122.8
2008-12-01,6251.7
2009-01-01,6075.8
2009-02-01,6309.1
2009-03-01,6673.7
2009-04-01,6676.1
2009-05-01,6701.8
2009-06-01,6861.7
2009-07-01,7037.3
2009-08-01,7216.7
2009-09-01,7318.3
2009-10-01,7225.7
2009-11-01,7538.3
2009-12-01,7488.1
2010-01-01,7485.1
2010-02-01,7651.1
2010-03-01,7978.5
2010-04-01,8174.8
2010-05-01,8273.5
2010-06-01,8547.2
2010-07-01,8605.4
2010-08-01,8983.8
2010-09-01,9067.6
2010-10-01,9066.7
2010-11-01,9234.4
2010-12-01,9213.1
2011-01-01,9295.1
2011-02-01,9389.2
2011-03-01,9423.5
2011-04-01,9421.8
2011-05-01,9708.1
2011-06-01,9748.8
2011-07-01,9865.2
2011-08-01,10240.7
2011-09-01,10446.6
2011-10-01,10532.4
2011-11-01,10680
2011-12-01,10730.5
2012-01-01,10960.5
2012-02-01,11044.4
2012-03-01,10990.3
2012-04-01,11222.6
2012-05-01,11451.5
2012-06-01,11372.8
2012-07-01,11607.9
2012-08-01,11723.7
2012-09-01,11622.4
2012-10-01,11778.3
2012-11-01,11954.3
2012-12-01,11909
2013-01-01,11877.6
2013-02-01,12111.1
2013-03-01,12136.4
2013-04-01,12281.8
2013-05-01,12036.6
2013-06-01,11799.8
2013-07-01,11922.8
2013-08-01,11866.5
2013-09-01,12012.5
2013-10-01,12122.1
2013-11-01,12081.4
2013-12-01,12109.3
2014-01-01,12221.5
2014-02-01,12402.2
2014-03-01,12487
2014-04-01,12437.5
2014-05-01,12431
2014-06-01,12508.2
2014-07-01,12559.8
2014-08-01,12665.5
2014-09-01,12695.6
2014-10-01,12855.2
2014-11-01,12916.2
2014-12-01,13049.8
2015-01-01,13264.8
2015-02-01,13146.7
2015-03-01,13338.4
2015-04-01,13266.6
2015-05-01,13157.1
2015-06-01,13137.4
2015-07-01,13325.7
2015-08-01,13304.8
2015-09-01,13394.2
2015-10-01,13215.8
2015-11-01,13545.9
2015-12-01,13578.8
2016-01-01,13659.5
2016-02-01,13976.4
2016-03-01,14128.6
2016-04-01,13856.1
2016-05-01,14000.2
2016-06-01,14285.3
2016-07-01,14232.2
2016-08-01,14378
2016-09-01,14427.1
2016-10-01,14392.8
2016-11-01,14219.4
2016-12-01,14091.4
2017-01-01,14145.5
2017-02-01,14194.6
2017-03-01,14257.8
2017-04-01,14150.6
2017-05-01,14358.8
2017-06-01,14339.4
2017-07-01,14388.5
2017-08-01,14528.4
2017-09-01,14424.7
2017-10-01,14558.5
2017-11-01,14691.6
2017-12-01,14625.3
2018-01-01,14591.3
2018-02-01,14680.1
2018-03-01,14924.7
2018-04-01,14807.3
2018-05-01,14954
2018-06-01,14907.7
2018-07-01,15034.2
2018-08-01,15306.9
2018-09-01,15060.2
2018-10-01,15016.5
2018-11-01,15431.4
2018-12-01,15609.4
2019-01-01,15735.6
2019-02-01,15784.5
2019-03-01,16120.3
2019-04-01,16100.3
2019-05-01,16418.2
2019-06-01,16312.8
2019-07-01,16498.5
2019-08-01,16984.4
2019-09-01,17134.1
2019-10-01,17279
2019-11-01,17247.4
2019-12-01,17296.8
2020-01-01,17606.5
2020-02-01,18001.7
2020-03-01,18697.7
2020-04-01,20176.7
2020-05-01,20734.5
2020-06-01,21529
2020-07-01,21809.3
2020-08-01,21802.4
2020-09-01,21979.4
2020-10-01,21703.1
2020-11-01,22176.2
2020-12-01,22414.7
2021-01-01,22180.7
2021-02-01,21982.1
2021-03-01,22090.2
2021-04-01,22255.6
2021-05-01,22123.8
2021-06-01,22641.9
2021-07-01,22668.7
2021-08-01,22993.5
2021-09-01,22770.1
2021-10-01,22824.1
2021-11-01,23303.9
2021-12-01,23424
2022-01-01,23398.5
2022-02-01,23565.9
2022-03-01,23101
2022-04-01,22304.6
2022-05-01,22522
2022-06-01,22276.6
2022-07-01,22423.9
2022-08-01,22414.1
2022-09-01,21777.4
2022-10-01,21511.7
2022-11-01,22117.6
2022-12-01,21925.4
2023-01-01,22630.2
2023-02-01,22397.8
2023-03-01,22905.6
2023-04-01,22659.3
2023-05-01,22459.2
2023-06-01,22863.9
2023-07-01,23045.3
2023-08-01,23465.8
2023-09-01,23232.8
2023-10-01,23361.9
2023-11-01,24165.2
