"Date","M1218AUSM144SNBR"
1897-01-01,82.22
1897-02-01,84.92
1897-03-01,84.92
1897-04-01,85.9
1897-05-01,83.95
1897-06-01,88.92
1897-07-01,93.11
1897-08-01,96.38
1897-09-01,104.47
1897-10-01,96.16
1897-11-01,99.54
1897-12-01,99.54
1898-01-01,98.17
1898-02-01,103.75
1898-03-01,101.86
1898-04-01,97.27
1898-05-01,97.95
1898-06-01,103.04
1898-07-01,94.62
1898-08-01,103.99
1898-09-01,103.04
1898-10-01,100.69
1898-11-01,107.15
1898-12-01,112.2
1899-01-01,114.82
1899-02-01,120.23
1899-03-01,125.03
1899-04-01,117.76
1899-05-01,120.23
1899-06-01,120.23
1899-07-01,118.03
1899-08-01,121.34
1899-09-01,124.74
1899-10-01,120.78
1899-11-01,119.95
1899-12-01,118.58
1900-01-01,115.08
1900-02-01,115.88
1900-03-01,116.14
1900-04-01,114.82
1900-05-01,116.68
1900-06-01,118.3
1900-07-01,114.82
1900-08-01,116.68
1900-09-01,112.98
1900-10-01,117.76
1900-11-01,120.5
1900-12-01,119.95
1901-01-01,126.47
1901-02-01,125.89
1901-03-01,127.64
1901-04-01,138.68
1901-05-01,141.25
1901-06-01,134.28
1901-07-01,135.83
1901-08-01,136.46
1901-09-01,128.82
1901-10-01,134.9
1901-11-01,134.59
1901-12-01,130.92
1902-01-01,139
1902-02-01,135.21
1902-03-01,134.9
1902-04-01,143.55
1902-05-01,141.91
1902-06-01,131.52
1902-07-01,144.88
1902-08-01,136.14
1902-09-01,144.54
1902-10-01,140.6
1902-11-01,134.28
1902-12-01,136.77
1903-01-01,140.93
1903-02-01,139
1903-03-01,136.46
1903-04-01,141.91
1903-05-01,138.04
1903-06-01,146.56
1903-07-01,147.91
1903-08-01,139.32
1903-09-01,142.89
1903-10-01,142.89
1903-11-01,134.59
1903-12-01,139
1904-01-01,135.52
1904-02-01,138.36
1904-03-01,138.36
1904-04-01,137.72
1904-05-01,132.43
1904-06-01,139.64
1904-07-01,137.72
1904-08-01,143.22
1904-09-01,147.57
1904-10-01,144.88
1904-11-01,155.96
1904-12-01,155.24
1905-01-01,145.21
1905-02-01,150.31
1905-03-01,157.04
1905-04-01,154.52
1905-05-01,160.32
1905-06-01,159.59
1905-07-01,153.82
1905-08-01,161.44
1905-09-01,162.18
1905-10-01,159.22
1905-11-01,166.34
1905-12-01,167.49
1906-01-01,174.58
1906-02-01,171.79
1906-03-01,168.27
1906-04-01,161.44
1906-05-01,165.96
1906-06-01,168.66
1906-07-01,164.82
1906-08-01,171.4
1906-09-01,165.58
1906-10-01,176.2
1906-11-01,177.01
1906-12-01,171
1907-01-01,178.65
1907-02-01,178.65
1907-03-01,177.42
1907-04-01,177.83
1907-05-01,182.39
1907-06-01,175.39
1907-07-01,182.39
1907-08-01,180.72
1907-09-01,173.78
1907-10-01,187.07
1907-11-01,147.23
1907-12-01,139.64
1908-01-01,155.24
1908-02-01,151.01
1908-03-01,153.46
1908-04-01,155.6
1908-05-01,154.52
1908-06-01,157.76
1908-07-01,165.2
1908-08-01,158.86
1908-09-01,169.04
1908-10-01,164.82
1908-11-01,168.66
1908-12-01,173.38
1909-01-01,171.4
1909-02-01,174.2
1909-03-01,178.6
1909-04-01,181.6
1909-05-01,176.2
1909-06-01,183.7
1909-07-01,184.1
1909-08-01,185.8
1909-09-01,189.7
1909-10-01,187.9
1909-11-01,191.9
1909-12-01,194.5
1910-01-01,189.7
1910-02-01,191
1910-03-01,198.6
1910-04-01,193.6
1910-05-01,185.8
1910-06-01,191.9
1910-07-01,189.2
1910-08-01,187.9
1910-09-01,188.4
1910-10-01,185.8
1910-11-01,191.4
1910-12-01,192.8
1911-01-01,19.05
1911-02-01,187.9
1911-03-01,192.8
1911-04-01,186.2
1911-05-01,194.1
1911-06-01,196.3
1911-07-01,190.5
1911-08-01,195
1911-09-01,197.2
1911-10-01,187.9
1911-11-01,195.9
1911-12-01,193.6
1912-01-01,196.8
1912-02-01,201.8
1912-03-01,197.2
1912-04-01,204.6
1912-05-01,204.6
1912-06-01,194.5
1912-07-01,203.2
1912-08-01,208
1912-09-01,201.8
1912-10-01,213.3
1912-11-01,209.4
1912-12-01,205.6
1913-01-01,214.3
1913-02-01,215.8
1913-03-01,202.3
1913-04-01,207.5
1913-05-01,208
1913-06-01,205.1
1913-07-01,208.4
1913-08-01,203.2
1913-09-01,210.9
1913-10-01,212.8
1913-11-01,202.3
1913-12-01,209.4
1914-01-01,212.3
1914-02-01,208.4
1914-03-01,207
1914-04-01,210.9
1914-05-01,200
1914-06-01,207.5
1914-07-01,211.3
1914-08-01,190.5
1914-09-01,189.7
1914-10-01,186.6
1914-11-01,183.7
1914-12-01,190.1
1915-01-01,193.2
1915-02-01,201.8
1915-03-01,203.2
1915-04-01,204.6
1915-05-01,200
1915-06-01,204.2
1915-07-01,204.2
1915-08-01,199.5
1915-09-01,208
1915-10-01,210.9
1915-11-01,225.9
1915-12-01,229.1
1916-01-01,220.3
1916-02-01,231.7
1916-03-01,233.3
1916-04-01,224.9
1916-05-01,238.8
1916-06-01,235
1916-07-01,230.1
1916-08-01,243.2
1916-09-01,246.6
1916-10-01,247.7
1916-11-01,256.4
1916-12-01,250
1917-01-01,255.3
1917-02-01,252.9
1917-03-01,257.6
1917-04-01,252.9
1917-05-01,257.6
1917-06-01,248.9
1917-07-01,246.6
1917-08-01,257.6
1917-09-01,247.7
1917-10-01,266.7
1917-11-01,279.9
1917-12-01,255.3
1918-01-01,256.4
1918-02-01,255.9
1918-03-01,269.2
1918-04-01,276.7
1918-05-01,279.9
1918-06-01,269.8
1918-07-01,282.5
1918-08-01,292.4
1918-09-01,274.2
1918-10-01,282.5
1918-11-01,271.6
1918-12-01,263
1919-01-01,278.6
1919-02-01,275.4
1919-03-01,266.7
1919-04-01,270.4
1919-05-01,287.8
1919-06-01,296.5
1919-07-01,306.2
1919-08-01,303.4
1919-09-01,305.5
1919-10-01,298.6
1919-11-01,295.8
1919-12-01,309.8
