"Date","MED1"
1983-10-01,9.42
1983-11-01,9.49
1983-12-01,10.02
1984-01-01,9.57
1984-02-01,9.71
1984-03-01,10.15
1984-04-01,10.57
1984-05-01,10.87
1984-06-01,11.34
1984-07-01,11.57
1984-08-01,11.61
1984-09-01,11.5
1984-10-01,10.41
1984-11-01,9.23
1984-12-01,8.67
1985-01-01,8.17
1985-02-01,8.63
1985-03-01,8.85
1985-04-01,8.5
1985-05-01,7.96
1985-06-01,7.53
1985-07-01,7.78
1985-08-01,7.89
1985-09-01,8.02
1985-10-01,7.98
1985-11-01,8.02
1985-12-01,8.13
1986-01-01,8.04
1986-02-01,7.88
1986-03-01,7.51
1986-04-01,6.92
1986-05-01,6.89
1986-06-01,6.98
1986-07-01,6.6
1986-08-01,6.13
1986-09-01,5.94
1986-10-01,5.88
1986-11-01,5.99
1986-12-01,6.68
1987-01-01,6.13
1987-02-01,6.26
1987-03-01,6.39
1987-04-01,6.55
1987-05-01,6.96
1987-06-01,7.01
1987-07-01,6.7
1987-08-01,6.71
1987-09-01,7.36
1987-10-01,7.53
1987-11-01,6.87
1987-12-01,8.03
1988-01-01,6.89
1988-02-01,6.66
1988-03-01,6.69
1988-04-01,6.92
1988-05-01,7.18
1988-06-01,7.53
1988-07-01,7.85
1988-08-01,8.19
1988-09-01,8.19
1988-10-01,8.23
1988-11-01,8.46
1988-12-01,9.49
1989-01-01,9.13
1989-02-01,9.39
1989-03-01,9.98
1989-04-01,9.88
1989-05-01,9.67
1989-06-01,9.41
1989-07-01,9.02
1989-08-01,8.82
1989-09-01,8.88
1989-10-01,8.68
1989-11-01,8.45
1989-12-01,8.65
1990-01-01,8.2
1990-02-01,8.19
1990-03-01,8.29
1990-04-01,8.32
1990-05-01,8.22
1990-06-01,8.19
1990-07-01,8.09
1990-08-01,7.99
1990-09-01,8.09
1990-10-01,8.02
1990-11-01,7.94
1990-12-01,8.32
1991-01-01,7.13
1991-02-01,6.5
1991-03-01,6.44
1991-04-01,6.03
1991-05-01,5.82
1991-06-01,5.96
1991-07-01,5.9
1991-08-01,5.63
1991-09-01,5.49
1991-10-01,5.21
1991-11-01,4.84
1991-12-01,4.83
1992-01-01,4.07
1992-02-01,4.04
1992-03-01,4.21
1992-04-01,3.98
1992-05-01,3.77
1992-06-01,3.81
1992-07-01,3.33
1992-08-01,3.29
1992-09-01,3.14
1992-10-01,3.1
1992-11-01,3.2
1992-12-01,3.56
1993-01-01,3.09
1993-02-01,3.03
1993-03-01,3.06
1993-04-01,3.04
1993-05-01,3.02
1993-06-01,3.09
1993-07-01,3.05
1993-08-01,3.06
1993-09-01,3.05
1993-10-01,3.06
1993-11-01,3.06
1993-12-01,3.22
1994-01-01,3.03
1994-02-01,3.27
1994-03-01,3.5
1994-04-01,3.71
1994-05-01,4.18
1994-06-01,4.27
1994-07-01,4.43
1994-08-01,4.57
1994-09-01,4.82
1994-10-01,4.96
1994-11-01,5.36
1994-12-01,5.99
1995-01-01,5.82
1995-02-01,5.99
1995-03-01,6.03
1995-04-01,6.02
1995-05-01,5.98
1995-06-01,5.95
1995-07-01,5.81
1995-08-01,5.78
1995-09-01,5.73
1995-10-01,5.74
1995-11-01,5.72
1995-12-01,5.74
1996-01-01,5.45
1996-02-01,5.2
1996-03-01,5.26
1996-04-01,5.32
1996-05-01,5.3
1996-06-01,5.33
1996-07-01,5.31
1996-08-01,5.28
1996-09-01,5.35
1996-10-01,5.26
1996-11-01,5.26
1996-12-01,5.48
1997-01-01,5.33
1997-02-01,5.27
1997-03-01,5.4
1997-04-01,5.56
1997-05-01,5.56
1997-06-01,5.56
1997-07-01,5.54
1997-08-01,5.5
1997-09-01,5.58
1997-10-01,5.52
1997-11-01,5.56
1997-12-01,5.82
1998-01-01,5.51
1998-02-01,5.51
1998-03-01,5.56
1998-04-01,5.54
1998-05-01,5.52
1998-06-01,5.53
1998-07-01,5.51
1998-08-01,5.51
1998-09-01,5.43
1998-10-01,5.21
1998-11-01,5.13
1998-12-01,5.42
1999-01-01,4.86
1999-02-01,4.81
1999-03-01,4.81
1999-04-01,4.8
1999-05-01,4.78
1999-06-01,4.93
1999-07-01,5.07
1999-08-01,5.2
1999-09-01,5.31
1999-10-01,5.32
1999-11-01,5.49
1999-12-01,6.3
2000-01-01,5.71
2000-02-01,5.8
2000-03-01,5.97
2000-04-01,6.07
2000-05-01,6.47
2000-06-01,6.58
2000-07-01,6.54
2000-08-01,6.53
2000-09-01,6.54
2000-10-01,6.53
2000-11-01,6.54
2000-12-01,6.58
2001-01-01,5.79
2001-02-01,5.44
2001-03-01,5.06
2001-04-01,4.76
2001-05-01,4.08
2001-06-01,3.83
2001-07-01,3.74
2001-08-01,3.55
2001-09-01,2.94
2001-10-01,2.41
2001-11-01,2.06
2001-12-01,1.88
2002-01-01,1.74
2002-02-01,1.78
2002-03-01,1.83
2002-04-01,1.79
2002-05-01,1.78
2002-06-01,1.78
2002-07-01,1.77
2002-08-01,1.74
2002-09-01,1.77
2002-10-01,1.75
2002-11-01,1.37
2002-12-01,1.35
2003-01-01,1.28
2003-02-01,1.26
2003-03-01,1.24
2003-04-01,1.26
2003-05-01,1.25
2003-06-01,1.08
2003-07-01,1.04
2003-08-01,1.05
2003-09-01,1.06
2003-10-01,1.05
2003-11-01,1.04
2003-12-01,1.08
2004-01-01,1.03
2004-02-01,1.02
2004-03-01,1.02
2004-04-01,1.02
2004-05-01,1.03
2004-06-01,1.18
2004-07-01,1.35
2004-08-01,1.52
2004-09-01,1.72
2004-10-01,1.84
2004-11-01,2.06
2004-12-01,2.32
2005-01-01,2.42
2005-02-01,2.55
2005-03-01,2.75
2005-04-01,2.92
2005-05-01,3.03
2005-06-01,3.19
2005-07-01,3.36
2005-08-01,3.54
2005-09-01,3.72
2005-10-01,3.95
2005-11-01,4.14
2005-12-01,4.34
2006-01-01,4.48
2006-02-01,4.58
2006-03-01,4.75
2006-04-01,4.91
2006-05-01,5.07
2006-06-01,5.24
2006-07-01,5.37
2006-08-01,5.33
2006-09-01,5.32
2006-10-01,5.32
2006-11-01,5.32
2006-12-01,5.35
2007-01-01,5.32
2007-02-01,5.32
2007-03-01,5.32
2007-04-01,5.31
2007-05-01,5.32
2007-06-01,5.32
2007-07-01,5.32
2007-08-01,5.53
2007-09-01,5.5
2007-10-01,5.01
2007-11-01,4.83
2007-12-01,5.23
2008-01-01,3.93
2008-02-01,3.17
2008-03-01,2.87
2008-04-01,2.97
2008-05-01,2.63
2008-06-01,2.66
2008-07-01,2.65
2008-08-01,2.61
2008-09-01,4.01
2008-10-01,4.93
2008-11-01,2.08
2008-12-01,1.75
2009-01-01,0.89
2009-02-01,0.77
2009-03-01,0.98
2009-04-01,0.94
2009-05-01,0.71
2009-06-01,0.65
2009-07-01,0.56
2009-08-01,0.46
2009-09-01,0.4
2009-10-01,0.35
2009-11-01,0.3
2009-12-01,0.32
2010-01-01,0.3
2010-02-01,0.28
2010-03-01,0.28
2010-04-01,0.3
2010-05-01,0.38
2010-06-01,0.44
2010-07-01,0.44
2010-08-01,0.37
2010-09-01,0.34
2010-10-01,0.34
2010-11-01,0.33
2010-12-01,0.32
2011-01-01,0.32
2011-02-01,0.32
2011-03-01,0.3
2011-04-01,0.26
2011-05-01,0.26
2011-06-01,0.24
2011-07-01,0.22
2011-08-01,0.25
2011-09-01,0.33
2011-10-01,0.35
2011-11-01,0.35
2011-12-01,0.35
2012-01-01,0.35
2012-02-01,0.34
2012-03-01,0.34
2012-04-01,0.33
2012-05-01,0.3
2012-06-01,0.3
2012-07-01,0.31
2012-08-01,0.31
2012-09-01,0.3
2012-10-01,0.28
2012-11-01,0.27
2012-12-01,0.27
2013-01-01,0.24
2013-02-01,0.24
2013-03-01,0.23
2013-04-01,0.23
2013-05-01,0.22
2013-06-01,0.22
2013-07-01,0.22
2013-08-01,0.22
2013-09-01,0.22
2013-10-01,0.22
2013-11-01,0.21
2013-12-01,0.2
2014-01-01,0.19
2014-02-01,0.19
2014-03-01,0.19
2014-04-01,0.19
2014-05-01,0.19
2014-06-01,0.17
2014-07-01,0.17
2014-08-01,0.17
2014-09-01,0.17
2014-10-01,0.17
2014-11-01,0.17
2014-12-01,0.18
2015-01-01,0.19
2015-02-01,0.19
2015-03-01,0.19
2015-04-01,0.19
2015-05-01,0.19
2015-06-01,0.19
2015-07-01,0.19
2015-08-01,0.19
2015-09-01,0.19
2015-10-01,0.19
2015-11-01,0.19
2015-12-01,0.38
2016-01-01,0.48
2016-02-01,0.48
2016-03-01,0.48
2016-04-01,0.48
2016-05-01,0.48
2016-06-01,0.48
2016-07-01,0.48
2016-08-01,0.5
2016-09-01,0.5
