"Date","CP1M"
1981-06-01,17.34
1981-07-01,17.7
1981-08-01,17.58
1981-09-01,15.95
1981-10-01,14.8
1981-11-01,12.35
1981-12-01,12.16
1982-01-01,12.9
1982-02-01,14.62
1982-03-01,13.99
1982-04-01,14.38
1982-05-01,13.79
1982-06-01,13.95
1982-07-01,12.62
1982-08-01,9.5
1982-09-01,9.96
1982-10-01,9.08
1982-11-01,8.66
1982-12-01,8.53
1983-01-01,8.19
1983-02-01,8.3
1983-03-01,8.56
1983-04-01,8.58
1983-05-01,8.36
1983-06-01,8.97
1983-07-01,9.15
1983-08-01,9.41
1983-09-01,9.19
1983-10-01,9.03
1983-11-01,9.1
1983-12-01,9.56
1984-01-01,9.23
1984-02-01,9.35
1984-03-01,9.81
1984-04-01,10.17
1984-05-01,10.38
1984-06-01,10.82
1984-07-01,11.06
1984-08-01,11.19
1984-09-01,11.1
1984-10-01,10.05
1984-11-01,9.01
1984-12-01,8.39
1985-01-01,7.99
1985-02-01,8.46
1985-03-01,8.74
1985-04-01,8.31
1985-05-01,7.8
1985-06-01,7.34
1985-07-01,7.58
1985-08-01,7.73
1985-09-01,7.83
1985-10-01,7.81
1985-11-01,7.84
1985-12-01,7.87
1986-01-01,7.78
1986-02-01,7.7
1986-03-01,7.3
1986-04-01,6.75
1986-05-01,6.72
1986-06-01,6.79
1986-07-01,6.42
1986-08-01,6.02
1986-09-01,5.74
1986-10-01,5.74
1986-11-01,5.84
1986-12-01,6.63
1987-01-01,5.95
1987-02-01,6.12
1987-03-01,6.22
1987-04-01,6.39
1987-05-01,6.83
1987-06-01,6.86
1987-07-01,6.57
1987-08-01,6.62
1987-09-01,7.26
1987-10-01,7.38
1987-11-01,6.77
1987-12-01,7.76
1988-01-01,6.76
1988-02-01,6.55
1988-03-01,6.57
1988-04-01,6.8
1988-05-01,7.07
1988-06-01,7.41
1988-07-01,7.72
1988-08-01,8.09
1988-09-01,8.09
1988-10-01,8.12
1988-11-01,8.38
1988-12-01,9.31
1989-01-01,9.03
1989-02-01,9.29
1989-03-01,9.88
1989-04-01,9.77
1989-05-01,9.58
1989-06-01,9.34
1989-07-01,8.95
1989-08-01,8.79
1989-09-01,8.87
1989-10-01,8.66
1989-11-01,8.47
1989-12-01,8.61
1990-01-01,8.2
1990-02-01,8.22
1990-03-01,8.32
1990-04-01,8.32
1990-05-01,8.24
1990-06-01,8.21
1990-07-01,8.09
1990-08-01,7.99
1990-09-01,8.09
1990-10-01,8.04
1990-11-01,7.84
1990-12-01,8.28
1991-01-01,7.12
1991-02-01,6.53
1991-03-01,6.48
1991-04-01,6.08
1991-05-01,5.91
1991-06-01,6.06
1991-07-01,5.98
1991-08-01,5.72
1991-09-01,5.57
1991-10-01,5.29
1991-11-01,4.95
1991-12-01,4.98
1992-01-01,4.11
1992-02-01,4.11
1992-03-01,4.28
1992-04-01,4.02
1992-05-01,3.87
1992-06-01,3.91
1992-07-01,3.43
1992-08-01,3.38
1992-09-01,3.25
1992-10-01,3.22
1992-11-01,3.25
1992-12-01,3.71
1993-01-01,3.21
1993-02-01,3.14
1993-03-01,3.15
1993-04-01,3.13
1993-05-01,3.11
1993-06-01,3.19
1993-07-01,3.15
1993-08-01,3.14
1993-09-01,3.14
1993-10-01,3.14
1993-11-01,3.15
1993-12-01,3.35
1994-01-01,3.14
1994-02-01,3.39
1994-03-01,3.63
1994-04-01,3.81
1994-05-01,4.28
1994-06-01,4.36
1994-07-01,4.49
1994-08-01,4.65
1994-09-01,4.9
1994-10-01,5.02
1994-11-01,5.4
1994-12-01,6.08
1995-01-01,5.86
1995-02-01,6.05
1995-03-01,6.07
1995-04-01,6.06
1995-05-01,6.05
1995-06-01,6.05
1995-07-01,5.87
1995-08-01,5.85
1995-09-01,5.82
1995-10-01,5.81
1995-11-01,5.8
1995-12-01,5.84
1996-01-01,5.56
1996-02-01,5.29
1996-03-01,5.39
1996-04-01,5.4
1996-05-01,5.38
1996-06-01,5.45
1996-07-01,5.44
1996-08-01,5.39
1996-09-01,5.45
1996-10-01,5.37
1996-11-01,5.39
1996-12-01,5.7
1997-01-01,5.43
1997-02-01,5.39
1997-03-01,5.51
1997-04-01,5.61
1997-05-01,5.61
1997-06-01,5.6
1997-07-01,5.56
1997-08-01,5.55
