"Date","NJSLIND"
1998-09-01,1.67
1998-10-01,1.51
1998-11-01,1.22
1998-12-01,1.24
1999-01-01,1.08
1999-02-01,1.08
1999-03-01,0.89
1999-04-01,0.74
1999-05-01,0.62
1999-06-01,0.95
1999-07-01,1.4
1999-08-01,1.58
1999-09-01,1.92
1999-10-01,2.19
1999-11-01,2.17
1999-12-01,2.13
2000-01-01,1.78
2000-02-01,1.51
2000-03-01,1.8
2000-04-01,1.52
2000-05-01,1.08
2000-06-01,0.98
2000-07-01,0.8
2000-08-01,0.91
2000-09-01,0.69
2000-10-01,0.9
2000-11-01,1.05
2000-12-01,1.63
2001-01-01,0.55
2001-02-01,0.45
2001-03-01,0.42
2001-04-01,0.32
2001-05-01,0.11
2001-06-01,0.34
2001-07-01,-0.11
2001-08-01,0.03
2001-09-01,0.04
2001-10-01,0.04
2001-11-01,0.08
2001-12-01,0.07
2002-01-01,0.49
2002-02-01,0.55
2002-03-01,0.79
2002-04-01,0.85
2002-05-01,0.88
2002-06-01,0.94
2002-07-01,0.68
2002-08-01,0.87
2002-09-01,1.32
2002-10-01,1.14
2002-11-01,0.58
2002-12-01,0.73
2003-01-01,0.99
2003-02-01,0.89
2003-03-01,0.81
2003-04-01,0.92
2003-05-01,0.83
2003-06-01,0.92
2003-07-01,1.19
2003-08-01,1.37
2003-09-01,1.61
2003-10-01,1.79
2003-11-01,1.67
2003-12-01,1.93
2004-01-01,1.58
2004-02-01,1.54
2004-03-01,1.37
2004-04-01,1.18
2004-05-01,1.48
2004-06-01,1.55
2004-07-01,1.57
2004-08-01,1.61
2004-09-01,1.7
2004-10-01,1.53
2004-11-01,1.61
2004-12-01,1.18
2005-01-01,0.97
2005-02-01,1.47
2005-03-01,0.98
2005-04-01,1.14
2005-05-01,1.37
2005-06-01,1.3
2005-07-01,0.81
2005-08-01,0.67
2005-09-01,0.49
2005-10-01,0.59
2005-11-01,0.63
2005-12-01,0.45
2006-01-01,1.19
2006-02-01,1.22
2006-03-01,1.24
2006-04-01,0.87
2006-05-01,0.82
2006-06-01,0.75
2006-07-01,1.13
2006-08-01,1.02
2006-09-01,1.3
2006-10-01,1.15
2006-11-01,1.18
2006-12-01,1.34
2007-01-01,1.24
2007-02-01,0.57
2007-03-01,0.63
2007-04-01,0.75
2007-05-01,0.86
2007-06-01,0.63
2007-07-01,0.71
2007-08-01,0.48
2007-09-01,0.46
2007-10-01,0.53
2007-11-01,0.86
2007-12-01,0.48
2008-01-01,0.51
2008-02-01,0.44
2008-03-01,0.24
2008-04-01,0.09
2008-05-01,0.16
2008-06-01,-0.08
2008-07-01,-0.14
2008-08-01,-0.46
2008-09-01,-0.82
2008-10-01,-1.35
2008-11-01,-1.59
2008-12-01,-1.58
2009-01-01,-1.54
2009-02-01,-1.59
2009-03-01,-1.67
2009-04-01,-1.61
2009-05-01,-0.57
2009-06-01,-0.19
2009-07-01,-0.02
2009-08-01,0.39
2009-09-01,0.4
2009-10-01,0.86
2009-11-01,0.64
2009-12-01,0.94
2010-01-01,0.76
2010-02-01,1.03
2010-03-01,1.12
2010-04-01,1.62
2010-05-01,1.85
2010-06-01,1.56
2010-07-01,1.12
2010-08-01,0.79
2010-09-01,0.51
2010-10-01,0.47
2010-11-01,0.85
2010-12-01,0.73
2011-01-01,1.04
2011-02-01,1.04
2011-03-01,1.09
2011-04-01,0.99
2011-05-01,0.84
2011-06-01,0.99
2011-07-01,0.95
2011-08-01,1.45
2011-09-01,1.35
2011-10-01,1.24
2011-11-01,1.4
2011-12-01,1.16
2012-01-01,1.39
2012-02-01,1.35
2012-03-01,1.2
2012-04-01,0.65
2012-05-01,0.77
2012-06-01,1.35
2012-07-01,1.5
2012-08-01,1.2
2012-09-01,1.56
2012-10-01,1.25
2012-11-01,0.94
2012-12-01,1.74
2013-01-01,2.25
2013-02-01,1.94
2013-03-01,1.83
2013-04-01,1.6
2013-05-01,1.57
2013-06-01,1.54
2013-07-01,1.58
2013-08-01,2.02
2013-09-01,2.03
2013-10-01,2.04
2013-11-01,2.13
2013-12-01,1.87
2014-01-01,1.49
2014-02-01,1.3
2014-03-01,1.88
2014-04-01,1.88
2014-05-01,1.74
2014-06-01,1.08
2014-07-01,1.32
2014-08-01,1.12
2014-09-01,1.22
2014-10-01,1.07
2014-11-01,1.17
2014-12-01,1.72
2015-01-01,1.21
2015-02-01,1.36
2015-03-01,1.42
2015-04-01,1.28
2015-05-01,1.42
2015-06-01,1.78
2015-07-01,2.15
2015-08-01,2.21
2015-09-01,2.12
2015-10-01,1.82
2015-11-01,1.72
2015-12-01,1.55
2016-01-01,1.33
2016-02-01,1.35
2016-03-01,0.96
2016-04-01,1.11
2016-05-01,1.16
2016-06-01,1.08
2016-07-01,1.33
2016-08-01,1.44
2016-09-01,1.47
2016-10-01,0.99
2016-11-01,1.17
2016-12-01,1.41
2017-01-01,1.46
2017-02-01,1.23
2017-03-01,1.55
2017-04-01,1.39
2017-05-01,0.97
2017-06-01,1.28
2017-07-01,0.81
2017-08-01,1.1
2017-09-01,1.32
2017-10-01,1.25
2017-11-01,0.93
2017-12-01,1.17
2018-01-01,1.39
2018-02-01,1.3
2018-03-01,1.23
2018-04-01,1.39
2018-05-01,1.43
2018-06-01,1.54
2018-07-01,1.22
2018-08-01,1.36
2018-09-01,1.24
2018-10-01,1.1
2018-11-01,1.05
2018-12-01,1.08
2019-01-01,1.37
2019-02-01,1.35
2019-03-01,1.57
2019-04-01,1.36
2019-05-01,1.17
2019-06-01,1.07
2019-07-01,1.22
2019-08-01,0.61
2019-09-01,0.54
2019-10-01,0.79
2019-11-01,1.33
2019-12-01,1.4
2020-01-01,1.25
2020-02-01,1.19
