"Date","TXSLIND"
1995-08-01,1.59
1995-09-01,1.95
1995-10-01,1.83
1995-11-01,1.78
1995-12-01,2.11
1996-01-01,2
1996-02-01,1.91
1996-03-01,1.76
1996-04-01,2.05
1996-05-01,2.08
1996-06-01,2.04
1996-07-01,2.06
1996-08-01,2.06
1996-09-01,1.67
1996-10-01,2
1996-11-01,1.85
1996-12-01,1.78
1997-01-01,1.63
1997-02-01,1.84
1997-03-01,2.16
1997-04-01,2.36
1997-05-01,2.5
1997-06-01,2.47
1997-07-01,2.5
1997-08-01,2.26
1997-09-01,2.45
1997-10-01,2.46
1997-11-01,2.4
1997-12-01,2.35
1998-01-01,2.26
1998-02-01,2.36
1998-03-01,2.12
1998-04-01,1.88
1998-05-01,1.98
1998-06-01,1.8
1998-07-01,1.57
1998-08-01,1.61
1998-09-01,1.94
1998-10-01,1.81
1998-11-01,1.77
1998-12-01,1.84
1999-01-01,1.66
1999-02-01,1.56
1999-03-01,1.66
1999-04-01,1.33
1999-05-01,1.36
1999-06-01,1.43
1999-07-01,1.72
1999-08-01,1.63
1999-09-01,1.86
1999-10-01,1.94
1999-11-01,2.11
1999-12-01,2.11
2000-01-01,2.05
2000-02-01,2.13
2000-03-01,2.2
2000-04-01,2.22
2000-05-01,2.15
2000-06-01,1.91
2000-07-01,1.71
2000-08-01,1.55
2000-09-01,1.67
2000-10-01,1.67
2000-11-01,1.68
2000-12-01,1.76
2001-01-01,1.41
2001-02-01,1.18
2001-03-01,0.83
2001-04-01,0.64
2001-05-01,0.51
2001-06-01,0.62
2001-07-01,0.32
2001-08-01,0.39
2001-09-01,0.48
2001-10-01,-0.03
2001-11-01,-0.04
2001-12-01,-0.02
2002-01-01,0.61
2002-02-01,0.81
2002-03-01,0.97
2002-04-01,1.19
2002-05-01,1.24
2002-06-01,1.11
2002-07-01,1.11
2002-08-01,1.33
2002-09-01,1.49
2002-10-01,1.21
2002-11-01,1.01
2002-12-01,0.86
2003-01-01,1.09
2003-02-01,0.97
2003-03-01,0.86
2003-04-01,0.67
2003-05-01,0.9
2003-06-01,0.94
2003-07-01,1.26
2003-08-01,1.51
2003-09-01,1.84
2003-10-01,1.93
2003-11-01,1.93
2003-12-01,2.02
2004-01-01,2.15
2004-02-01,1.91
2004-03-01,1.98
2004-04-01,2.03
2004-05-01,2.06
2004-06-01,1.99
2004-07-01,1.99
2004-08-01,1.66
2004-09-01,1.62
2004-10-01,1.81
2004-11-01,1.67
2004-12-01,1.74
2005-01-01,1.7
2005-02-01,2.1
2005-03-01,1.89
2005-04-01,1.98
2005-05-01,2.11
2005-06-01,2.09
2005-07-01,2.19
2005-08-01,2.01
2005-09-01,1.88
2005-10-01,1.77
2005-11-01,2.15
2005-12-01,2.45
2006-01-01,2.78
2006-02-01,2.46
2006-03-01,2.28
2006-04-01,2.28
2006-05-01,1.91
2006-06-01,1.84
2006-07-01,1.3
2006-08-01,1.9
2006-09-01,2.17
2006-10-01,2.19
2006-11-01,2.01
2006-12-01,2.02
2007-01-01,1.9
2007-02-01,1.85
2007-03-01,1.81
2007-04-01,1.94
2007-05-01,1.69
2007-06-01,1.58
2007-07-01,1.57
2007-08-01,1.45
2007-09-01,1.45
2007-10-01,1.44
2007-11-01,1.5
2007-12-01,1.52
2008-01-01,1.7
2008-02-01,1.6
2008-03-01,1.36
2008-04-01,1.19
2008-05-01,1.1
2008-06-01,1.27
2008-07-01,0.97
2008-08-01,0.69
2008-09-01,-0.61
2008-10-01,-0.44
2008-11-01,-0.72
2008-12-01,-0.01
2009-01-01,-0.79
2009-02-01,-1.1
2009-03-01,-0.98
2009-04-01,-1.19
2009-05-01,-0.78
2009-06-01,-0.3
2009-07-01,0.23
2009-08-01,0.91
2009-09-01,1.19
2009-10-01,1.26
2009-11-01,1.15
2009-12-01,1.4
2010-01-01,1.73
2010-02-01,1.67
2010-03-01,1.98
2010-04-01,1.78
2010-05-01,2.13
2010-06-01,2.02
2010-07-01,2.06
2010-08-01,1.56
2010-09-01,0.97
2010-10-01,1.44
2010-11-01,1.98
2010-12-01,1.71
2011-01-01,1.71
2011-02-01,1.89
2011-03-01,2.14
2011-04-01,2.29
2011-05-01,1.9
2011-06-01,1.67
2011-07-01,1.64
2011-08-01,1.85
2011-09-01,1.91
2011-10-01,1.94
2011-11-01,1.95
2011-12-01,2.04
2012-01-01,2.44
2012-02-01,2.12
2012-03-01,2.3
2012-04-01,2.19
2012-05-01,2.18
2012-06-01,2.09
2012-07-01,1.94
2012-08-01,1.95
2012-09-01,2.16
2012-10-01,1.82
2012-11-01,1.79
2012-12-01,1.93
2013-01-01,1.92
2013-02-01,1.98
2013-03-01,1.86
2013-04-01,1.88
2013-05-01,1.76
2013-06-01,2
2013-07-01,1.73
2013-08-01,2.04
2013-09-01,1.99
2013-10-01,1.9
2013-11-01,1.97
2013-12-01,1.96
2014-01-01,2.19
2014-02-01,2.27
2014-03-01,2.44
2014-04-01,2.55
2014-05-01,2.32
2014-06-01,2.11
2014-07-01,2.19
2014-08-01,2.23
2014-09-01,2.08
2014-10-01,2.36
2014-11-01,2.28
2014-12-01,2.19
2015-01-01,1.97
2015-02-01,1.57
2015-03-01,1.12
2015-04-01,0.85
2015-05-01,1.35
2015-06-01,1.37
2015-07-01,1.7
2015-08-01,1.53
2015-09-01,1.7
2015-10-01,1.42
2015-11-01,1.26
2015-12-01,1.4
2016-01-01,1.42
2016-02-01,1.36
2016-03-01,1.29
2016-04-01,1.18
2016-05-01,1.47
2016-06-01,1.25
2016-07-01,1.69
2016-08-01,1.6
2016-09-01,1.52
2016-10-01,1.47
2016-11-01,1.59
2016-12-01,1.6
2017-01-01,1.75
2017-02-01,1.87
2017-03-01,2.07
2017-04-01,2.04
2017-05-01,1.91
2017-06-01,1.96
2017-07-01,1.88
2017-08-01,1.33
2017-09-01,0.46
2017-10-01,1.25
2017-11-01,1.75
2017-12-01,2.99
2018-01-01,2.5
2018-02-01,2.73
2018-03-01,2.41
2018-04-01,2.12
2018-05-01,1.94
2018-06-01,2.23
2018-07-01,2.07
2018-08-01,2.32
2018-09-01,2.19
2018-10-01,2.1
2018-11-01,1.72
2018-12-01,1.33
2019-01-01,1.32
2019-02-01,1.51
2019-03-01,1.68
2019-04-01,1.7
2019-05-01,1.65
2019-06-01,1.58
2019-07-01,1.77
2019-08-01,1.93
2019-09-01,1.79
2019-10-01,1.82
2019-11-01,1.65
2019-12-01,1.91
2020-01-01,1.71
2020-02-01,1.96
