"Date","B069RC1"
1975-08-01,23.6
1975-09-01,23.7
1975-10-01,23.8
1975-11-01,23.8
1975-12-01,23.7
1976-01-01,23.2
1976-02-01,23.1
1976-03-01,23.1
1976-04-01,23.2
1976-05-01,23.3
1976-06-01,23.4
1976-07-01,23.5
1976-08-01,23.6
1976-09-01,23.8
1976-10-01,23.8
1976-11-01,24.1
1976-12-01,24.4
1977-01-01,24.9
1977-02-01,25.3
1977-03-01,25.6
1977-04-01,25.8
1977-05-01,26.1
1977-06-01,26.4
1977-07-01,26.7
1977-08-01,27
1977-09-01,27.3
1977-10-01,27.6
1977-11-01,28
1977-12-01,28.4
1978-01-01,28.9
1978-02-01,29.3
1978-03-01,29.8
1978-04-01,30.2
1978-05-01,30.7
1978-06-01,31.2
1978-07-01,31.7
1978-08-01,32.1
1978-09-01,32.5
1978-10-01,32.8
1978-11-01,33.1
1978-12-01,33.4
1979-01-01,33.6
1979-02-01,33.9
1979-03-01,34.2
1979-04-01,34.5
1979-05-01,34.9
1979-06-01,35.2
1979-07-01,35.6
1979-08-01,36
1979-09-01,36.4
1979-10-01,36.3
1979-11-01,37.2
1979-12-01,38.4
1980-01-01,41.6
1980-02-01,42.7
1980-03-01,43.2
1980-04-01,42.4
1980-05-01,42.3
1980-06-01,42
1980-07-01,41.3
1980-08-01,41.3
1980-09-01,41.8
1980-10-01,43.1
1980-11-01,43.8
1980-12-01,44.3
1981-01-01,44.3
1981-02-01,44.8
1981-03-01,45.4
1981-04-01,46.2
1981-05-01,46.9
1981-06-01,47.8
1981-07-01,48.9
1981-08-01,49.7
1981-09-01,50.6
1981-10-01,51.2
1981-11-01,52
1981-12-01,52.9
1982-01-01,53.9
1982-02-01,54.9
1982-03-01,55.8
1982-04-01,56.8
1982-05-01,57.6
1982-06-01,58.3
1982-07-01,58.9
1982-08-01,59.6
1982-09-01,60.3
1982-10-01,61
1982-11-01,61.8
1982-12-01,62.6
1983-01-01,63.7
1983-02-01,64.5
1983-03-01,65.2
1983-04-01,65.7
1983-05-01,66.3
1983-06-01,67
1983-07-01,67.8
1983-08-01,68.5
1983-09-01,69.2
1983-10-01,70
1983-11-01,70.5
1983-12-01,71
1984-01-01,70.9
1984-02-01,71.3
1984-03-01,71.9
1984-04-01,72.8
1984-05-01,73.6
1984-06-01,74.6
1984-07-01,75.9
1984-08-01,76.6
1984-09-01,77.1
1984-10-01,76.9
1984-11-01,78.2
1984-12-01,80.6
1985-01-01,84.1
1985-02-01,86.5
1985-03-01,87.9
1985-04-01,88.9
1985-05-01,89.4
1985-06-01,90.3
1985-07-01,90.8
1985-08-01,91.9
1985-09-01,92.8
1985-10-01,94
1985-11-01,94.7
1985-12-01,95.4
1986-01-01,95.8
1986-02-01,96.3
1986-03-01,96.7
1986-04-01,97.1
1986-05-01,97.3
1986-06-01,97.5
1986-07-01,97.4
1986-08-01,97.5
1986-09-01,97.7
1986-10-01,98.2
1986-11-01,98.1
1986-12-01,97.9
1987-01-01,96.9
1987-02-01,96.6
1987-03-01,96.4
1987-04-01,96.4
1987-05-01,96.4
1987-06-01,96.6
1987-07-01,97.1
1987-08-01,97.4
1987-09-01,97.7
1987-10-01,97.8
1987-11-01,98.1
1987-12-01,98.3
1988-01-01,98.5
1988-02-01,98.7
1988-03-01,99.1
1988-04-01,99.7
1988-05-01,100.2
1988-06-01,100.9
1988-07-01,101.5
1988-08-01,102.1
1988-09-01,102.7
1988-10-01,103
1988-11-01,104
1988-12-01,105.4
1989-01-01,107.6
1989-02-01,109.2
1989-03-01,110.5
1989-04-01,111.6
1989-05-01,112.5
1989-06-01,113.2
1989-07-01,113.7
1989-08-01,114.2
1989-09-01,114.9
1989-10-01,115.9
1989-11-01,116.5
1989-12-01,117
1990-01-01,117
1990-02-01,117.3
1990-03-01,117.3
1990-04-01,117.3
1990-05-01,117.4
1990-06-01,117.8
1990-07-01,118.7
1990-08-01,119.2
1990-09-01,119.7
1990-10-01,119.7
1990-11-01,119.9
1990-12-01,119.9
1991-01-01,120
1991-02-01,120
1991-03-01,120.1
1991-04-01,120.3
1991-05-01,120.4
1991-06-01,120.5
1991-07-01,120.3
1991-08-01,120.1
1991-09-01,119.7
1991-10-01,119.6
1991-11-01,119.3
1991-12-01,119.1
1992-01-01,118.4
1992-02-01,118.2
1992-03-01,117.9
1992-04-01,117.7
1992-05-01,117.2
1992-06-01,116.6
1992-07-01,115.9
1992-08-01,115.3
1992-09-01,114.8
1992-10-01,114.1
1992-11-01,113.9
1992-12-01,113.9
1993-01-01,114.4
1993-02-01,114.6
1993-03-01,114.5
1993-04-01,114.6
1993-05-01,114.4
1993-06-01,114.1
1993-07-01,113.1
1993-08-01,112.9
1993-09-01,112.9
1993-10-01,113.6
1993-11-01,113.8
1993-12-01,114
1994-01-01,113.5
1994-02-01,114
1994-03-01,114.7
1994-04-01,116.1
1994-05-01,117.3
1994-06-01,118.8
1994-07-01,121.4
1994-08-01,122.8
1994-09-01,124
1994-10-01,124.3
1994-11-01,125.2
1994-12-01,126.3
1995-01-01,126.9
1995-02-01,129
1995-03-01,132
1995-04-01,136.6
1995-05-01,139.5
1995-06-01,141.4
1995-07-01,142.4
1995-08-01,143.5
1995-09-01,145.2
1995-10-01,147.8
1995-11-01,149.6
1995-12-01,151
1996-01-01,150.9
1996-02-01,151.7
1996-03-01,152.4
1996-04-01,153.6
1996-05-01,154.6
1996-06-01,156
1996-07-01,157.7
1996-08-01,159.3
1996-09-01,160.7
1996-10-01,161.9
1996-11-01,162.6
1996-12-01,162.8
1997-01-01,161.9
1997-02-01,162.4
1997-03-01,163.6
1997-04-01,166.3
1997-05-01,168.1
1997-06-01,169.7
1997-07-01,171.3
1997-08-01,172.6
1997-09-01,173.6
1997-10-01,174.1
1997-11-01,175.6
1997-12-01,177.6
1998-01-01,179.5
1998-02-01,181.5
1998-03-01,183.2
1998-04-01,185.2
1998-05-01,186
1998-06-01,186.5
1998-07-01,186.9
1998-08-01,186.8
1998-09-01,186.3
1998-10-01,185.4
1998-11-01,184.4
1998-12-01,183.2
1999-01-01,181.5
1999-02-01,182.2
1999-03-01,183.8
1999-04-01,188
1999-05-01,190.1
1999-06-01,191.7
1999-07-01,191.8
1999-08-01,192.8
1999-09-01,194
1999-10-01,195.7
1999-11-01,197.6
1999-12-01,200.2
2000-01-01,203.4
2000-02-01,205.9
2000-03-01,207.4
2000-04-01,207.8
2000-05-01,209.9
2000-06-01,213.6
2000-07-01,220.2
2000-08-01,224.5
2000-09-01,227.7
2000-10-01,229.9
2000-11-01,231.2
2000-12-01,231.5
2001-01-01,231.1
2001-02-01,231
2001-03-01,230.4
2001-04-01,230
2001-05-01,229
2001-06-01,228.1
2001-07-01,228.1
2001-08-01,226.5
2001-09-01,223.9
2001-10-01,219.4
2001-11-01,216.4
2001-12-01,213.8
2002-01-01,210.2
2002-02-01,207.8
2002-03-01,205.3
2002-04-01,204.7
2002-05-01,202.3
2002-06-01,200.2
2002-07-01,198.6
2002-08-01,197.3
2002-09-01,196.1
2002-10-01,196.2
2002-11-01,195.1
2002-12-01,193.3
2003-01-01,193.3
2003-02-01,194.6
2003-03-01,195.3
2003-04-01,195.8
2003-05-01,196.3
2003-06-01,196.7
2003-07-01,195.9
2003-08-01,196.8
2003-09-01,197.7
2003-10-01,197.1
2003-11-01,198.1
2003-12-01,200.3
2004-01-01,201.7
2004-02-01,201
2004-03-01,198.8
2004-04-01,200.9
2004-05-01,202.9
2004-06-01,204.5
2004-07-01,205.6
2004-08-01,207.7
2004-09-01,210.3
2004-10-01,213.7
2004-11-01,217.7
2004-12-01,222.3
2005-01-01,226.1
2005-02-01,228.3
2005-03-01,228.8
2005-04-01,231.3
2005-05-01,234.6
2005-06-01,238.7
2005-07-01,240.4
2005-08-01,241.9
2005-09-01,243.1
2005-10-01,242.9
2005-11-01,244.4
2005-12-01,247.3
2006-01-01,254.2
2006-02-01,258.6
2006-03-01,260.4
2006-04-01,258.7
2006-05-01,258
2006-06-01,258.4
2006-07-01,265
2006-08-01,271.2
2006-09-01,277
2006-10-01,277.3
2006-11-01,279.8
2006-12-01,284.3
2007-01-01,283.8
2007-02-01,280.8
2007-03-01,275.4
2007-04-01,286
2007-05-01,294.4
2007-06-01,300.5
2007-07-01,295.3
2007-08-01,294
2007-09-01,296.5
2007-10-01,296.5
2007-11-01,296.2
2007-12-01,295.5
2008-01-01,290.9
2008-02-01,285.1
2008-03-01,277.8
2008-04-01,274.7
2008-05-01,272.9
2008-06-01,272.5
2008-07-01,272.1
2008-08-01,272.2
2008-09-01,272.7
2008-10-01,265.1
2008-11-01,257.7
2008-12-01,250.4
2009-01-01,252.8
2009-02-01,254.5
2009-03-01,255.5
2009-04-01,254.8
2009-05-01,253.3
2009-06-01,251
2009-07-01,249.7
2009-08-01,251.4
2009-09-01,255.9
2009-10-01,255.7
2009-11-01,252.6
2009-12-01,246.9
2010-01-01,248.4
2010-02-01,248.8
2010-03-01,247.8
2010-04-01,244.4
2010-05-01,243.6
2010-06-01,245.1
2010-07-01,242.6
2010-08-01,239.9
2010-09-01,236.9
2010-10-01,237
2010-11-01,236.9
2010-12-01,236.6
2011-01-01,232.7
2011-02-01,231.2
2011-03-01,232.2
2011-04-01,233.5
2011-05-01,231.9
2011-06-01,227.5
2011-07-01,226.6
2011-08-01,228
2011-09-01,231.7
2011-10-01,231.7
2011-11-01,228.9
2011-12-01,223.4
2012-01-01,223.6
2012-02-01,227.2
2012-03-01,234.4
2012-04-01,233.1
2012-05-01,229.9
2012-06-01,224.7
2012-07-01,227.4
2012-08-01,230.4
2012-09-01,233.6
2012-10-01,232.7
2012-11-01,230.7
2012-12-01,227.5
2013-01-01,227.7
2013-02-01,229.3
2013-03-01,233.2
2013-04-01,232.6
2013-05-01,229.9
2013-06-01,225
2013-07-01,226.4
2013-08-01,228.9
2013-09-01,232.4
2013-10-01,230.7
2013-11-01,229.4
2013-12-01,228.6
2014-01-01,232.9
2014-02-01,237.2
2014-03-01,239.9
2014-04-01,240.5
2014-05-01,240.1
2014-06-01,238.7
2014-07-01,240.4
2014-08-01,243.8
2014-09-01,249.1
2014-10-01,252.1
2014-11-01,254.3
2014-12-01,255.8
2015-01-01,255.3
2015-02-01,254.1
2015-03-01,252.3
2015-04-01,255.9
2015-05-01,260.8
2015-06-01,267.1
2015-07-01,267.7
2015-08-01,267.3
2015-09-01,265.7
2015-10-01,268.9
2015-11-01,271.9
2015-12-01,274.8
2016-01-01,270.4
2016-02-01,266.8
2016-03-01,263.5
2016-04-01,267.1
2016-05-01,271.2
2016-06-01,275.6
2016-07-01,276
2016-08-01,275.3
2016-09-01,273.6
2016-10-01,275.1
2016-11-01,277.6
2016-12-01,281
2017-01-01,282.6
2017-02-01,282
2017-03-01,279.3
2017-04-01,281.2
2017-05-01,285.7
2017-06-01,292.9
2017-07-01,293.5
2017-08-01,292.5
2017-09-01,289.8
2017-10-01,295.5
2017-11-01,301.6
2017-12-01,308.1
2018-01-01,309.8
2018-02-01,310.6
2018-03-01,310.7
2018-04-01,312.9
2018-05-01,316.4
2018-06-01,321.2
2018-07-01,327
2018-08-01,330.1
2018-09-01,330.4
2018-10-01,329
2018-11-01,328.6
2018-12-01,329.1
2019-01-01,327.6
2019-02-01,327.2
2019-03-01,328
2019-04-01,330.8
2019-05-01,335.7
2019-06-01,343
2019-07-01,348.5
2019-08-01,350.6
2019-09-01,349.5
2019-10-01,348.8
2019-11-01,349.3
2019-12-01,351
2020-01-01,350.1
2020-02-01,348.4
2020-03-01,325.2
2020-04-01,293.5
2020-05-01,275.8
2020-06-01,257.9
2020-07-01,265.8
2020-08-01,273.2
2020-09-01,280
2020-10-01,265.2
2020-11-01,252.5
2020-12-01,241.5
2021-01-01,250.6
2021-02-01,259.7
2021-03-01,268.9
2021-04-01,274.8
2021-05-01,279.2
2021-06-01,282
2021-07-01,280.8
2021-08-01,280
2021-09-01,279.7
2021-10-01,278.7
2021-11-01,276.3
2021-12-01,272.5
2022-01-01,272.8
2022-02-01,274.5
2022-03-01,277.6
2022-04-01,283.9
2022-05-01,291.4
2022-06-01,300.2
2022-07-01,321.2
2022-08-01,342.4
2022-09-01,363.7
2022-10-01,380.1
2022-11-01,395.6
2022-12-01,410.1
2023-01-01,415
2023-02-01,419.8
2023-03-01,424.7
2023-04-01,449.7
2023-05-01,474.7
2023-06-01,499.8
2023-07-01,512.1
2023-08-01,523.2
2023-09-01,569.2
2023-10-01,571.4
